,music,singer,music_id,release_date,category,music_like,comment_count
1160,등대,이루펀트,5593280,2015.02.13,랩/힙합,5610,2
1161,친구라도 될 걸 그랬어,거미,418598,2003.02.01,R&B/Soul,87336,80
1162,한여름밤의 꿀,"산이,레이나",4681146,2014.06.12,랩/힙합,161883,302
1163,이별공식,빅스,5593327,2015.02.24,댄스,35324,64
1164,표적,신화,5600224,2015.02.26,댄스,21365,55
1165,시작이 좋아 2015,"지민,슬옹",5741375,2015.06.16,-,3,0
1166,차가운 밤에,빅스,5602029,2015.02.24,발라드,15223,34
1167,Memory,빅스,5602030,2015.02.24,댄스,14284,36
1168,설레,올티,5604757,2015.02.25,"랩/힙합, 인디음악",27281,44
1169,Black Swan,레인보우,5600174,2015.02.23,댄스,4470,46
1170,양화대교,자이언티,5389475,2014.09.22,R&B/Soul,172743,168
1171,왼손,이영현,5604641,2015.02.25,발라드,2662,1
1172,Alright,신화,5606942,2015.02.26,댄스,9884,28
1173,오래전 그날,박정현,5599875,2015.02.20,발라드,4505,6
1174,I`m In Love,"진영,유성은",5599173,2015.02.21,"발라드, 국내드라마",7249,14
1175,제발,하동균,5599880,2015.02.20,발라드,2412,7
1176,White Shirts,신화,5606944,2015.02.26,발라드,6351,9
1177,고양이,신화,5606943,2015.02.26,댄스,6636,9
1178,Only One,티파니,5602457,2015.02.24,"발라드, 국내드라마",3935,8
1179,Don`t Cry,신화,5606945,2015.02.26,댄스,6231,8
1180,얼음달,신화,5606946,2015.02.26,댄스,6010,9
1181,Give It 2 Me,신화,5606947,2015.02.26,댄스,6795,8
1182,사랑 범벅,MC몽,5610343,2015.03.02,랩/힙합,61239,183
1183,니가 있어야 할 곳,케이티김,5612295,2015.03.03,R&B/Soul,18704,36
1184,권태중독,MC몽,5610344,2015.03.02,랩/힙합,11032,14
1185,슈퍼스타,"키썸,산이,태완",5616999,2015.03.06,랩/힙합,30788,39
1186,하얗게,MC몽,5610345,2015.03.02,랩/힙합,4293,6
1187,그날들,정승환,5610620,2015.03.01,발라드,15092,13
1188,너는 나만큼,SUPERJUNIORD&E,5612513,2015.03.06,발라드,19353,152
1189,안녕,러블리즈,5612284,2015.03.03,댄스,52906,257
1190,Is You,긱스,5617748,2015.03.06,랩/힙합,16196,16
1191,27,김성규,5610346,2015.03.02,랩/힙합,2625,11
1192,Thank U,케이윌,5697154,2015.05.14,"발라드, 국내드라마",4833,10
1193,너도 나처럼,화요비,5688724,2015.05.08,댄스,4983,21
1194,All Day,천재노창,5695067,2015.05.13,"발라드, 국내드라마",7275,5
1195,"낯선, 새벽",에피톤프로젝트,5686661,2015.05.11,"록/메탈, 국내드라마",5711,4
1196,Double Jack,보아,5692642,2015.05.12,발라드,5959,14
