music,singer,release_date,category,music_like,movie_like,movie_views
SOLO,제니,2018.11.12,랩/힙합,221119,1316,21654
SHE`S FINE,헤이즈,2019.03.19,R&B/Soul,65289,1063,127553
당신과는 천천히,장범준,2019.03.21,록/메탈,122764,1203,219915
일산으로,장범준,2019.03.21,록/메탈,26579,,
초록빛,폴킴,2019.01.17,발라드,149404,,
혼자,거미,2019.03.18,발라드,32759,348,58443
여자친구,하은요셉,2019.03.07,"발라드, 인디음악",46808,125,47995
내가 날 모르는 것처럼,백예린,2019.03.18,R&B/Soul,56011,,
그건 아마 우리의 잘못은 아닐 거야,백예린,2019.03.18,R&B/Soul,189853,2379,174501
누아르,선미,2019.03.04,댄스,39495,1185,390788
180도,벤,2018.12.07,발라드,168946,951,222423
띵,"Jvcki Wai, Young B, Osshun Gum, 한요한",2019.01.13,랩/힙합,139976,3596,364176
신용재,하은,2018.11.06,발라드,139687,412,141405
새벽에,에픽하이,2019.03.11,랩/힙합,36077,,
너도 그냥 날 놓아주면 돼,윤건,2018.11.29,발라드,136496,293,112647
신청곡,이소라,2019.01.22,발라드,223881,1586,176940
고고베베,마마무,2019.03.14,댄스,86953,3715,578678
넘쳐흘러,엠씨더맥스,2019.01.02,발라드,168634,1921,195620
이 노래가 클럽에서 나온다면,우디(Woody),2019.01.23,랩/힙합,152233,430,205972
봄,박봄,2019.03.13,R&B/Soul,96980,1182,287264
멍청이(twit),화사(Hwa Sa),2019.02.13,댄스,132746,3686,709787
그러나,10cm,2019.03.07,"인디음악, 포크/블루스",80763,761,30582
술이 달다,에픽하이,2019.03.11,랩/힙합,112254,1047,329636
나비효과,EXO,2019.11.27,댄스,59251,,
Done For Me,펀치,2019.08.18,"발라드, 국내드라마",103669,,
밤편지,아이유,2017.03.24,발라드,454416,9825,1072085
지킬,EXO,2019.11.27,댄스,51635,,
춤,EXO,2019.11.27,댄스,54879,,
Forever 84,"염따, 딥플로우, 팔로알토, The Quiett, 사이먼 도미닉",2019.11.19,랩/힙합,23249,,
안녕이라는 말,송이한,2019.03.25,R&B/Soul,43910,90,13186
Here I Am,태연,2019.10.28,발라드,34435,,
만추,헤이즈,2019.10.13,R&B/Soul,35952,599,18778
담아,"스윙스(Swings), Kid Milli, 매드 클라운",2019.08.24,랩/힙합,64104,,
하하하,태연,2019.10.28,R&B/Soul,15420,,
음파음파,레드벨벳(Red Velvet),2019.08.20,댄스,80362,3717,440184
물 만난 물고기,AKMU,2019.09.25,포크/블루스,47093,,
SUPER Clap,슈퍼주니어,2019.10.14,댄스,22108,1862,613517
봄날,방탄소년단,2017.02.13,랩/힙합,542378,30812,1669253
작별 인사,AKMU,2019.09.25,발라드,29945,,
널 안지 않을 수 있어야지,첸,2019.10.01,발라드,56124,,
그 끝에 그대,청하,2019.08.03,"발라드, 국내드라마",51272,,
독 : Fear,세븐틴,2019.09.16,댄스,69658,7455,101385
러브 델루나,"태용, 펀치",2019.08.24,"발라드, 국내드라마",41479,,
"나만, 봄",볼빨간사춘기,2019.04.02,"인디음악, 포크/블루스",193611,2512,401908
Way Back Home,숀,2018.06.27,"인디음악, 일렉트로니카",355574,,
벌써 12시,청하,2019.01.02,댄스,169180,3383,1182727
사월이 지나면 우리 헤어져요,첸,2019.04.01,발라드,170378,5793,108257
Goodbye,박효신,2019.05.06,발라드,171905,7887,278905
옥탑방,엔플라잉,2019.01.02,록/메탈,283756,2391,501641
내 안부,이우,2019.07.16,발라드,66841,236,61183
너만 너만 너만,양다일,2019.07.27,"발라드, 국내드라마",33484,,
Paris In The Rain,Lauv,2018.10.08,POP,294122,,
너를 만나,폴킴,2018.10.29,발라드,318179,2038,308246
