,music,singer,release_date,category,music_like,movie_like,movie_views
288,처럼,유재석 X 도끼,2016.12.31,랩/힙합,24681,,
289,미리 메리 크리스마스,아이유,2010.12.09,댄스,170812,,
290,쏘아,하하 X MINO,2016.12.31,랩/힙합,43438,,
291,술 한잔해요 오늘,지아,2016.12.01,발라드,31408,450.0,104843.0
292,You(=I),볼빨간사춘기,2016.08.29,"인디음악, 포크/블루스",124078,,
293,BeBe,서인국,2016.12.28,R&B/Soul,10023,896.0,67390.0
294,바람꽃,이선희,2016.12.15,"발라드, 국내드라마",23277,615.0,143156.0
295,당신의 밤,황광희 X 개코,2016.12.31,랩/힙합,120437,,
296,I Miss You,소유,2016.12.31,"발라드, 국내드라마",127585,,
297,이쁘다니까,에디킴,2016.12.24,"발라드, 국내드라마",102088,,
298,Who are you,샘김,2016.12.25,"발라드, 국내드라마",106287,,
299,For Life,EXO,2016.12.19,발라드,101595,18245.0,152127.0
300,좋다고 말해,볼빨간사춘기,2016.12.21,"인디음악, 포크/블루스",226217,3249.0,647679.0
301,Beautiful,크러쉬,2016.12.17,"발라드, R&B/Soul, 국내드라마",234845,3154.0,657769.0
302,내 눈에만 보여,10cm,2016.12.10,"포크/블루스, 국내드라마",58769,,
303,Hush,Lasse Lindh,2016.12.11,국내드라마,93678,,
304,GIRLFRIEND,BIGBANG,2016.12.13,랩/힙합,65669,,
305,LAST DANCE,BIGBANG,2016.12.13,발라드,172443,4508.0,166836.0
306,에라 모르겠다,BIGBANG,2016.12.13,랩/힙합,179480,4393.0,159370.0
307,Some Love,레드벨벳(Red Velvet),2016.09.07,일렉트로니카,21472,,
308,요즈음,칸토,2016.09.06,랩/힙합,18223,,
309,Fool,레드벨벳(Red Velvet),2016.09.07,발라드,21361,,
310,My Dear,레드벨벳(Red Velvet),2016.09.07,댄스,32268,,
311,No Thx,육지담,2016.10.24,랩/힙합,902,,
312,Bad Dracula,레드벨벳(Red Velvet),2016.09.07,댄스,20201,,
313,Ain`t Got Nobody,미료,2016.09.03,랩/힙합,5248,,
314,이제 날 놓아줘,임창정,2016.09.06,발라드,3674,,
315,Me like yuh,박재범,2016.09.02,R&B/Soul,32971,,
316,마음을 삼킨다,산들,2016.08.30,"발라드, 국내드라마",16684,1604.0,207682.0
317,그마저 내려놓는,임창정,2016.09.06,발라드,5025,,
318,Y,kei & myunDo,2016.09.02,랩/힙합,22796,1229.0,510613.0
319,Carnival,가인,2016.09.09,댄스,40159,1445.0,449719.0
320,화해,임창정,2016.09.06,발라드,8278,,
321,그리워,"양다일, 효린",2016.08.31,R&B/Soul,33368,510.0,45732.0
