,music,singer,release_date,category,music_like,movie_like,movie_views,Unnamed: 0
229,잘할 걸,버스커 버스커,2013.09.25,록/메탈,60588,,,
230,유후,유승우,2013.10.22,록/메탈,12461,248.0,58545.0,
231,Climax,WIN,2013.10.28,댄스,25278,1659.0,163060.0,
232,NoNoNo,에이핑크,2013.07.05,댄스,91630,3934.0,2180468.0,
233,나를 사랑해줘,서인영,2013.10.04,댄스,13540,115.0,132812.0,
234,Love Is...,박장현,2013.10.16,"발라드, 국내드라마",8019,,,
235,밤,버스커 버스커,2013.09.25,록/메탈,30354,,,
236,내가 미친년이야,김보형,2013.10.18,발라드,4327,85.0,78385.0,
237,상사병,샤이니,2013.10.14,발라드,23066,,,
238,It`s ME,가희,2013.10.10,댄스,5657,141.0,144199.0,
239,갖고놀래,범키,2013.08.16,R&B/Soul,94993,127.0,196258.0,
240,봉숙이,장미여관,2013.04.30,"인디음악, 포크/블루스",19901,,,
241,달맞이길,DK,2013.10.11,발라드,2495,,,
242,The Last Time,최현준,2013.09.24,발라드,38,,,
243,Be OK,유성은,2013.07.15,R&B/Soul,57163,193.0,159333.0,
244,너무 좋아 [Feat. Zion.T & Boys Noize],G-Dragon,2013.09.05,랩/힙합,28036,,,
245,이 노래 좋아요,린,2013.08.29,발라드,10922,93.0,60393.0,
246,괜찮을런지,임창정,2013.09.24,발라드,4947,,,
247,Sweet Dream,"드렁큰 타이거, 윤미래, Bizzy",2013.09.13,랩/힙합,1823,,,
248,할말 있어요,승리,2013.08.19,댄스,14427,1078.0,194739.0,
249,희망고문,"아웃사이더, 손승연",2013.09.11,발라드,1626,40.0,11178.0,
250,그땐 미처 알지 못했지,이적,2010.12.13,발라드,48959,,,
251,Whoo!,피에스타,2013.08.27,R&B/Soul,1158,,,
252,사로잡아요,"김진표, 앨리스",2013.08.22,랩/힙합,1951,70.0,23085.0,
253,You Hoooo!!!,승리,2013.08.19,댄스,3566,,,
254,비가 온다,강승윤,2013.07.16,록/메탈,38249,,,
255,Badman,B.A.P,2013.08.06,댄스,7562,814.0,86658.0,
256,Let`s Party,김현중,2013.07.22,댄스,453,,,
257,눈물이 흐른다,노을,2013.10.22,"발라드, 국내드라마",1203,,,
258,대.다.나.다.너,빅스,2013.07.31,댄스,31063,2242.0,189078.0,
259,버리고 가,샤이니,2013.08.08,발라드,12082,,,
260,Run,넬,2013.08.07,"록/메탈, 국내드라마",5039,257.0,17196.0,
261,여름안에서,소진,2013.08.09,댄스,5494,218.0,81975.0,
262,Wild And Young,강승윤,2013.07.31,록/메탈,10171,2073.0,172829.0,
263,슬퍼지려 하기전에,이정,2013.08.03,댄스,797,134.0,145566.0,
264,Your Story,김현중,2013.07.22,발라드,1357,170.0,31031.0,
265,니가 아니었기를,미스에스,2013.07.19,댄스,7883,38.0,57715.0,
266,레시피,브라운 아이드 걸스,2013.08.12,-,6,,,
267,Toy,f(x),2013.07.29,댄스,8272,,,
268,Snapshot,f(x),2013.07.29,댄스,7369,,,
269,MOYA,AOA,2013.07.26,댄스,19906,1040.0,466425.0,
270,썬글라스,딕펑스,2013.08.01,록/메탈,6651,406.0,175146.0,
271,핫 앤 콜드,쥬얼리,2013.07.05,댄스,8905,115.0,203378.0,
272,썸머시즌,프리스타일,2013.07.24,랩/힙합,3425,,,
273,나쁜놈,숙희,2013.07.22,발라드,2863,,,
274,미친게 아니라구요,손승연,2013.07.10,발라드,22973,77.0,52307.0,
275,No No No,에일리,2013.07.12,댄스,11730,,,
276,빠빠빠,크레용팝,2013.06.20,댄스,50935,1244.0,3561829.0,
277,I Like 2 Party,박재범,2013.07.10,R&B/Soul,7128,520.0,103259.0,
278,우리가 사랑하는 방법,"김용준, 이보람",2013.07.08,발라드,5867,,,
279,쌔끈해,다이나믹 듀오,2013.07.01,랩/힙합,29554,87.0,54193.0,
280,오늘따라 보고싶어서 그래,다비치,2013.07.04,발라드,57708,756.0,342734.0,
281,Baaam,다이나믹 듀오,2013.07.01,랩/힙합,73986,404.0,259044.0,
282,가수가 된 이유,신용재,2012.07.27,발라드,86311,370.0,122981.0,
283,벙어리,이정,2013.06.03,"발라드, R&B/Soul, 국내드라마",4481,,,
284,불편한 진실,"이지영, 한해",2013.06.12,발라드,3563,112.0,21040.0,
285,슬픈 동화,정동하,2013.06.04,"발라드, 국내드라마",5906,518.0,114982.0,
286,If U Want,씨스타,2013.06.11,댄스,2845,,,
287,닿을 수 있나요,이수영,2013.06.11,"발라드, 국내드라마",3712,,,
288,내 이름을 불러줘,2PM,2013.06.19,댄스,2703,,,
289,The Bad Touch,DJ Gollum Vs. EmpyreOne,2013.03.29,일렉트로니카,38286,,,
290,에코,에브리 싱글 데이,2013.06.13,"록/메탈, 국내드라마",12561,,,
291,나의 사랑비가 되어줄래,신재,2013.06.13,"발라드, 국내드라마",2256,,,
292,니 눈 니 코 니 입술,투빅,2013.06.05,발라드,19149,,,
293,Bad Boys,레드애플,2013.06.17,댄스,1235,22.0,65784.0,
294,캐럴의 말장난,김예림,2013.06.17,록/메탈,1287,,,
295,So Good,리오 케이코아,2013.06.20,랩/힙합,7411,,,
296,Hey You,씨스타,2013.06.11,댄스,3270,,,
297,Boogie On & On,빈지노,2012.07.03,랩/힙합,105763,,,
298,자니,프라이머리,2012.03.07,랩/힙합,179000,150.0,294663.0,
299,못갖춘마디,BMK,2014.01.13,발라드,147,,,
300,머리가 나빠,신지훈,2013.06.27,"발라드, 국내드라마",1575,,,
301,어떤 설레임,라디,2013.06.17,"R&B/Soul, 국내드라마",6658,,,
302,잘 알지도 못하면서,김예림,2013.06.17,록/메탈,23037,,,
303,All Right,김예림,2013.06.17,록/메탈,34236,230.0,485392.0,
304,만인의 연인,써니힐,2013.06.19,댄스,14729,314.0,210501.0,
305,Call My Name,소울스타,2013.06.25,R&B/Soul,36328,,,
306,왜 이제야 왔니,정엽,2013.06.17,"발라드, 국내드라마",35972,,,
307,비범벅,버벌진트,2013.06.24,랩/힙합,27095,81.0,59866.0,
308,Love Love Love,로이킴,2013.06.25,포크/블루스,47035,730.0,196494.0,
309,Coffee Shop,B.A.P,2013.06.28,발라드,10543,814.0,83958.0,
310,그대를 사랑한단 말,로이킴,2013.06.25,포크/블루스,7382,,,
311,I`m Sorry,비스트,2013.06.15,발라드,24192,5745.0,154158.0,
312,a Good Boy,백아연,2013.06.17,댄스,13623,245.0,162736.0,
313,한사람,울랄라세션,2013.06.27,발라드,8961,,,
314,청춘예찬,이현우,2013.06.21,국내영화,8637,353.0,182171.0,
315,거름,울랄라세션,2013.06.27,발라드,10239,,,
316,슬피 우는 새,아웃사이더,2013.06.26,랩/힙합,34143,125.0,108902.0,
317,여자 대통령,걸스데이,2013.06.24,댄스,28218,1357.0,2022506.0,
318,My Love,이승철,2013.06.18,발라드,94243,1286.0,1237171.0,
319,Summer Time,씨스타,2013.06.11,댄스,4215,,,
320,일주일,씨스타,2013.06.11,발라드,4592,,,
321,Trap,헨리,2013.06.07,R&B/Soul,36116,989.0,948952.0,
322,첫사랑,애프터스쿨,2013.06.13,댄스,14371,321.0,525444.0,
323,너 하나야,포맨,2013.06.04,"발라드, 국내드라마",41421,240.0,161080.0,
324,늑대와 미녀,EXO,2013.06.03,댄스,74211,9614.0,599690.0,
325,사랑하고 싶은 날,이승철,2013.06.18,발라드,9023,205.0,152458.0,
326,선잠,제이레빗,2013.06.08,"포크/블루스, 국내드라마",23012,255.0,86790.0,
327,진통제,티아라,2013.06.10,발라드,9450,407.0,193891.0,
328,바빠,씨스타,2013.06.11,댄스,22429,,,
329,넌 너무 야해,씨스타,2013.06.11,발라드,28791,,,
330,Ocean Of Light,넬,2013.06.10,록/메탈,20678,570.0,52249.0,
331,그런 여자,백지영,2013.06.07,발라드,2679,,,
332,Crying,씨스타,2013.06.11,발라드,21454,,,
333,I Dance,아이비,2013.06.13,댄스,8575,147.0,219444.0,
334,Give It To Me,씨스타,2013.06.11,댄스,51112,926.0,1390601.0,
335,Never Ending Story,신용재,2013.06.01,발라드,2844,449.0,244569.0,
336,컬러링,김예림,2013.06.17,록/메탈,12294,101.0,123782.0,
337,회복이 급해,투빅,2013.06.05,발라드,19149,,,
338,미친연애,범키,2013.06.03,R&B/Soul,77477,97.0,182292.0,
339,넌 최고야,별,2013.05.31,발라드,6575,36.0,38564.0,
340,Sunshine,레인보우,2013.06.04,댄스,14164,244.0,383070.0,
341,스모키걸(Smoky Girl),엠블랙,2013.06.04,댄스,6982,232.0,135177.0,
342,짧은머리,"허각, 정은지",2013.05.31,발라드,70768,1583.0,329519.0,
