music,singer,release_date,category,music_like,movie_like,movie_views
Lost Stars,Adam Levine,2014.07.01,"POP, 록/메탈, 국외영화",263158,1973,948625
가드올리고 Bounce,바비,2014.09.05,랩/힙합,39342,,
신촌을 못가,포스트맨,2013.01.21,발라드,109267,,
독기,아이언,2014.09.04,랩/힙합,55452,,
자전거,"정인, Gary(개리)",2014.09.01,R&B/Soul,14615,405,214777
I`m Fine Thank You,레이디스 코드,2013.09.05,발라드,124285,,
연결고리#힙합,바비,2014.08.29,랩/힙합,66670,,
너를 사랑해,윤미래,2014.08.27,"발라드, R&B/Soul, 국내드라마",76844,,
A Real Man,"스윙스(Swings), 에일리",2014.08.22,랩/힙합,43056,,
I Swear,씨스타,2014.08.26,댄스,50609,2474,2135873
사랑이란 말이 어울리는 사람,장범준,2014.08.19,록/메탈,59419,,
어려운 여자,장범준,2014.08.19,록/메탈,29786,1165,538865
예뻐졌다,박보람,2014.08.07,댄스,73495,1711,2703129
멈춰버린 시간,선미,2014.02.17,발라드,4913,,
홀로,정키,2012.08.31,발라드,136945,,
그저 눈물만,시진,2014.02.21,랩/힙합,1559,,
눈물이 맘을 훔쳐서,에일리,2013.10.30,"발라드, 국내드라마",56030,292,161122
놀리러 간다,스피드,2014.02.18,댄스,1864,49,27983
한번 더,심은경,2014.01.28,국내영화,7820,,
Love You,김우주,2014.02.19,발라드,225,12,1401
왜 모르시나요,바이브,2014.02.20,발라드,889,,
연습,바이브,2014.02.20,발라드,2407,,
하늘만큼 땅만큼,바이브,2014.02.20,발라드,837,,
삐딱하게,G-Dragon,2013.09.05,랩/힙합,145796,4149,1562347
착해 빠졌어,"소유, 매드 클라운",2013.09.10,랩/힙합,116714,455,379439
으르렁,EXO,2013.08.05,댄스,179393,12751,3711579
Now And Forever,조정희,2014.02.11,"일렉트로니카, 국내드라마",8549,,
지나간다,김범수,2010.09.29,발라드,37585,118,40157
일주일,애프터스쿨,2014.02.21,발라드,3153,,
집사람,바이브,2014.02.20,발라드,5244,,
마누라,바이브,2014.02.20,발라드,9758,,
First Love,티아라,2009.11.27,댄스,4264,,
서약,알리,2014.02.14,발라드,35262,244,113384
그때는 몰랐었던 일,바이브,2014.02.20,발라드,1381,,
하루 & CHEN(EXO)),S.M. THE BALLAD,2014.02.11,발라드,27759,,
상남자,방탄소년단,2014.02.12,랩/힙합,142393,11172,956507
