Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
130,11,"

Memories
Maroon 5 | Memories","2,932,311","222 Records/Interscope Records
Universal Music",,
131,5,"

Brand (Feat. 래원 (Layone))
BE`O (비오) | Bipolar","2,928,740","페임어스 엔터테인먼트
지니뮤직, Stone Music Entertainment",,
132,9,"

나랑 같이 걸을래 (바른연애 길잡이 X 적재)
적재 | 나랑 같이 걸을래 (바른연애 길잡이 X 적재) OST","2,812,421","TOON STUDIO, 느을
Kakao Entertainment",,
133,8,"

Dolphin
오마이걸 (OH MY GIRL) | NONSTOP","2,799,449","WM엔터테인먼트
Sony Music",,
134,new,"

모르겠어
어반 자카파 (Urban Zakapa) | 이 별","2,770,778","어비스컴퍼니
Kakao Entertainment",,
135,13,"

상상더하기
라붐 (LABOUM) | Fresh Adventure","2,761,423","글로벌에이치미디어
인터파크",,
136,8,"

VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM) | 쇼미더머니 9 Episode 1","2,737,315","Stone Music Entertainment
지니뮤직",,
137,47,"

Last Christmas
Ariana Grande | Christmas Kisses","2,734,319","Universal Music
Universal Music",,
138,17,"

치맛바람 (Chi Mat Ba Ram)
브레이브걸스 (Brave Girls) | Summer Queen","2,704,112","브레이브 엔터테인먼트
Kakao Entertainment",,
139,10,"

혼자 사랑하고 미워해
백예슬 | 혼자 사랑하고 미워해","2,699,576","뮤니콘
Kakao Entertainment",,
140,9,"

너를 만나
폴킴 | 너를 만나","2,690,470","뉴런뮤직
Kakao Entertainment",,
141,new,"

호우주의 (Feat. 개코, 넉살 (Nucksal)) (Prod. 코드 쿤스트)
조광일 | 쇼미더머니 10 Semi Final","2,668,871","Stone Music Entertainment
지니뮤직",,
142,12,"

Shivers
Ed Sheeran | Shivers","2,629,007","Atlantic Records UK
Warner Music",,
143,51,"

미리 메리 크리스마스 (Feat. 천둥)
아이유 (IU) | Real","2,613,408","Kakao Entertainment
Kakao Entertainment",,
144,6,"

계단말고 엘리베이터
임영웅 | 계단말고 엘리베이터","2,595,218","물고기뮤직
뮤직앤뉴",,
145,12,"

LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)
양요섭, 정은지 | LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지) OST","2,562,364","TOON STUDIO, 느을
Kakao Entertainment",,
146,new,"

다시 사랑한다고 해도
백지영 | 다시 사랑한다고 해도 (감정공유 : 백지영)","2,559,503","니즈뮤직
NHN벅스",,
147,new,"

불협화음 (Feat. AKMU) (Prod. GRAY)
Mudd the student | 쇼미더머니 10 Semi Final","2,508,825","Stone Music Entertainment
지니뮤직",,
148,new,"

Trauma
SF9 (에스에프나인) | RUMINATION","2,464,452","FNC엔터테인먼트
Kakao Entertainment",,
149,12,"

비 오는 날 듣기 좋은 노래 (Feat. Colde)
에픽하이 (EPIK HIGH) | 비 오는 날 듣기 좋은 노래","2,452,939","아워즈
지니뮤직",,
150,15,"

고백
10cm | 두 번째 `고백`","2,413,481","Kakao Entertainment, 매직스트로베리사운드
Kakao Entertainment",,
151,new,"

술이야
허각 | 술이야 (REVIBE Vol.5)","2,379,417","메이저나인
지니뮤직",,
152,11,"

The Feels
TWICE | The Feels","2,376,148","JYP Entertainment
Dreamus",,
153,41,"

널 그리워하고 있어
양다일 | 널 그리워하고 있어","2,356,001","브랜뉴뮤직, 니즈뮤직
NHN벅스",,
154,new,"

08베이식 (Feat. 염따, punchnello)
베이식(Basick) | 쇼미더머니 10 Semi Final","2,355,806","Stone Music Entertainment
지니뮤직",,
155,11,"

아이와 나의 바다
아이유 (IU) | 5th Album `LILAC`","2,348,346","EDAM엔터테인먼트
Kakao Entertainment",,
156,6,"

Paris In The Rain
Lauv | I met you when I was 18. (the playlist)","2,332,355","뮤직테이블
NHN벅스",,
157,17,"

나를 아는 사람
MSG워너비(정상동기) | MSG워너비 1집","2,323,386","유야호
지니뮤직, Stone Music Entertainment",,
158,31,"

사랑은 언제나 목마르다 (N번째 연애 X 이해리 (다비치))
이해리 | 사랑은 언제나 목마르다 (N번째 연애 X 이해리 (다비치)) OST","2,314,026","TOON STUDIO, MATCHERS
Kakao Entertainment",,
159,58,"

첫 눈
EXO | 겨울 스페셜 앨범 `12월의 기적 (Miracles In December)`","2,290,426","SM Entertainment
지니뮤직",,
160,3,"

너의 모든 순간
성시경 | 별에서 온 그대 OST Part 7","2,273,723","SBS 콘텐츠허브
Kakao Entertainment",,
161,4,"

Bad
Christopher | Bad","2,263,871","Parlophone Denmark
Warner Music",,
162,88,"

크리스마스니까
성시경, 박효신, 이석훈, 서인국, 빅스 (VIXX) | Jelly Christmas 2012 Heart Project","2,236,375","젤리피쉬 엔터테인먼트
지니뮤직, Stone Music Entertainment",,
163,15,"

라라라
SG 워너비 | My Friend","2,234,452","Stone Music Entertainment
지니뮤직",,
164,9,"

첫눈처럼 너에게 가겠다
에일리 (Ailee) | 도깨비 OST Part 9","2,232,251","Stone Music Entertainment, 화앤담픽쳐스
지니뮤직, Stone Music Entertainment",,
165,new,"

도킹
이승윤 | 폐허가 된다 해도","2,226,982","쇼플레이
Kakao Entertainment",,
166,10,"

마음을 드려요
아이유 (IU) | 사랑의 불시착 OST Part 11","2,225,403","EDAM엔터테인먼트
Kakao Entertainment",,
167,18,"

어떻게 지내
오반 (OVAN) | 어떻게 지내","2,223,702","로맨틱팩토리
Kakao Entertainment",,
168,10,"

이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
10cm | 이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM) OST","2,193,262","TOON STUDIO, 느을
Kakao Entertainment",,
169,22,"

전화 한 번 못하니
신예영 | 전화 한 번 못하니 (너에게 하고 싶은 말 X 신예영)","2,168,061","프로젝트 리본
Warner Music",,
170,16,"

힘든 건 사랑이 아니다
임창정 | 힘든 건 사랑이 아니다","2,162,051","예스아이엠엔터테인먼트
인터파크",,
171,new,"

그게 더 편할 것 같아 (N번째 연애 X 멜로망스)
멜로망스(Melomance) | 그게 더 편할 것 같아 (N번째 연애 X 멜로망스) OST","2,161,936","TOON STUDIO
Kakao Entertainment",,
172,new,"

바래 (Feat. 정인) (Prod. TOIL)
쿤타 (Koonta) | 쇼미더머니 10 Semi Final","2,161,120","Stone Music Entertainment
지니뮤직",,
173,new,"

모야모야 (Feat. Queen WA$ABII) (Prod. TOIL)
365LIT, 황지상 (HWANG JI SANG) | 쇼미더머니 10 Episode 3","2,160,016","Stone Music Entertainment
지니뮤직",,
174,new,"

카멜레온 (Feat. SUMIN, Dbo) (Prod. SUMIN)
던밀스(Don Mills), Khakii (카키) | 쇼미더머니 10 Episode 3","2,147,509","Stone Music Entertainment
지니뮤직",,
175,14,"

Dance Monkey
Tones And I | Dance Monkey","2,142,922","Elektra
Warner Music",,
176,new,"

커다란 마음
이승윤 | 폐허가 된다 해도","2,133,916","쇼플레이
Kakao Entertainment",,
177,new,"

구름 한 점이나
이승윤 | 폐허가 된다 해도","2,126,711","쇼플레이
Kakao Entertainment",,
178,23,"

Leave The Door Open
Bruno Mars, Anderson .Paak, Silk Sonic | Leave The Door Open","2,117,620","Aftermath Entertainment/Atlantic
Warner Music",,
179,new,"

사형선고
이승윤 | 폐허가 된다 해도","2,117,232","쇼플레이
Kakao Entertainment",,
180,13,"

How You Like That
BLACKPINK | How You Like That","2,110,627","YG Entertainment
YG PLUS",,
