Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
93,4,"

처음처럼
엠씨더맥스 (M.C The Max) | CEREMONIA","5,375,088","325 이엔씨
Kakao Entertainment",,
94,4,"

Downtown Baby
블루 (BLOO) | Downtown Baby","5,239,641","메킷레인
Warner Music",,
95,3,"

At My Worst
Pink Sweat$ | The Prelude","5,210,245","Warner Music
Warner Music",,
96,12,"

CREDIT (Feat. 염따, 기리보이, Zion.T)
릴보이 (lIlBOI) | 쇼미더머니 9 Final","5,166,851","Stone Music Entertainment
지니뮤직",,
97,1,"

아무노래
지코 (ZICO) | 아무노래","5,013,410","KOZ 엔터테인먼트
Kakao Entertainment",,
98,7,"

다시 만날까 봐 (Prod.V.O.S)
이예준 | 다시 만날까 봐 (Prod.V.O.S)","5,012,643","뮤니콘
Kakao Entertainment",,
99,6,"

홀로
이하이 | 홀로","5,001,496","AOMG
지니뮤직, Stone Music Entertainment",,
100,12,"

What Do I Call You
태연 (TAEYEON) | What Do I Call You - The 4th Mini Album","4,982,183","SM Entertainment
Dreamus",,
101,6,"

Bad Boy
청하, Christopher | Bad Boy","4,902,389","Parlophone Denmark
Warner Music",,
102,5,"

Maniac
Conan Gray | Maniac","4,883,906","Republic Records
Universal Music",,
103,new,"

사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)
호미들 | 사이렌 Remix","4,820,534","영앤리치 레코즈
Kakao Entertainment",,
104,10,"

DON`T TOUCH ME
환불원정대 | DON`T TOUCH ME","4,782,808","신박기획
NHN벅스",,
105,6,"

눈누난나 (NUNU NANA)
제시(Jessi) | NUNA","4,760,456","피네이션
Kakao Entertainment",,
106,new,"

시공간
기리보이(Giriboy) | 시공간이랑 어쩌라고","4,459,662","린치핀뮤직
Kakao Entertainment",,
107,4,"

사랑 못해, 남들 쉽게 다 하는 거
먼데이 키즈 (Monday Kiz) | 사랑 못해, 남들 쉽게 다 하는 거","4,446,095","먼데이키즈 컴퍼니
Kakao Entertainment",,
108,new,"

너의 흔적
엠씨더맥스 (M.C the MAX) | CEREMONIA (Complete Edition)","4,421,866","325 이엔씨
Kakao Entertainment",,
109,8,"

한잔이면 지워질까
황인욱 | 한잔이면 지워질까","4,387,618","How엔터테인먼트
NHN벅스",,
110,10,"

가을밤에 든 생각
잔나비 | 잔나비 소곡집 l","4,386,726","페포니 뮤직
Kakao Entertainment",,
111,9,"

사랑하게 될 줄 알았어
전미도 | 슬기로운 의사생활 OST Part 11","4,380,297","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
112,26,"

FLYING HIGH WITH U
빈첸 (VINXEN) | FLYING HIGH WITH U","4,318,930","로맨틱팩토리
Kakao Entertainment",,
113,7,"

별을 담은 시 (Ode To The Stars)
마크툽 (Maktub), 이라온 | Red Moon : Ode To The Stars","4,111,048","MAKTUB Company
Warner Music",,
114,5,"

밤편지
아이유 (IU) | 밤편지","4,023,936","페이브엔터테인먼트,카카오 M
Kakao Entertainment",,
115,4,"

Leave The Door Open
Bruno Mars, Anderson .Paak, Silk Sonic | Leave The Door Open","3,879,767","Aftermath Entertainment/Atlantic
Warner Music",,
116,30,"

벚꽃 엔딩
버스커 버스커 (Busker Busker) | 버스커 버스커 1집","3,743,026","Stone Music Entertainment
지니뮤직",,
117,13,"

Achoo (Feat. pH-1, HAON) (Prod. GroovyRoom)
미란이 (Mirani) | 쇼미더머니 9 Episode 3","3,584,964","Stone Music Entertainment
지니뮤직",,
118,8,"

parachute
John K | love + everything else","3,564,858","Epic
Sony Music",,
119,21,"

겨울이 지나고 봄이 오듯이
김나영 | 겨울이 지나고 봄이 오듯이","3,493,777","프로젝트 리본
Warner Music",,
120,30,"

봄 사랑 벚꽃 말고
HIGH4, 아이유 (IU) | 봄 사랑 벚꽃 말고","3,182,440","엔에이피엔터테인먼트
Kakao Entertainment",,
121,7,"

이게 바로 나야
임창정 | 펜트하우스2 OST Part.2","3,168,853","SBS 콘텐츠허브
Dreamus",,
122,4,"

어느 60대 노부부이야기
임영웅 | 내일은 미스터트롯 트롯 에이드 베스트","3,154,326","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
123,new,"

빛나는 당신을 위해
적재, 권진아 | 빛나는 당신을 위해","3,139,693","안테나뮤직
Kakao Entertainment",,
124,3,"

주저하는 연인들을 위해
잔나비 | 전설","3,083,937","페포니 뮤직
Kakao Entertainment",,
125,2,"

바램
임영웅 | 내일은 미스터트롯 예선곡 베스트","3,039,557","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
126,21,"

Freak (Prod. Slom)
릴보이 (lIlBOI) , 원슈타인 (Wonstein) , Chillin Homie , 스카이민혁 (Skyminhyuk) | 쇼미더머니 9 Episode 1","3,013,316","Stone Music Entertainment
지니뮤직",,
