,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
150,2020,32,2020.08.02,2020.08.08,151,빌었어,창모 (CHANGMO),Boyhood,,
151,2020,32,2020.08.02,2020.08.08,152,Circles,Post Malone,Hollywood`s Bleeding,,
152,2020,32,2020.08.02,2020.08.08,153,노래방에서,장범준,장범준 3집,,
153,2020,32,2020.08.02,2020.08.08,154,Forever Young,BLACKPINK,SQUARE UP,,
154,2020,32,2020.08.02,2020.08.08,155,One Call Away,Charlie Puth,Nine Track Mind (Deluxe),,
155,2020,32,2020.08.02,2020.08.08,156,품,볼빨간사춘기,사춘기집Ⅱ 꽃 본 나비,,
156,2020,32,2020.08.02,2020.08.08,157,Blinding Lights,The Weeknd,Blinding Lights,,
157,2020,32,2020.08.02,2020.08.08,158,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고,,
158,2020,32,2020.08.02,2020.08.08,159,막걸리 한잔,영탁,내일은 미스터트롯 데스매치 PART1,,
159,2020,32,2020.08.02,2020.08.08,160,BUNGEE (Fall in Love),오마이걸 (OH MY GIRL),OH MY GIRL SUMMER PACKAGE (FALL IN LOVE),,
160,2020,32,2020.08.02,2020.08.08,161,있어줘요,장덕철,있어줘요,,
161,2020,32,2020.08.02,2020.08.08,162,Lonely Night,권진아,슬기로운 의사생활 OST Part 1,,
162,2020,32,2020.08.02,2020.08.08,163,사계 (하루살이),엠씨더맥스 (M.C The Max),Circular,,
163,2020,32,2020.08.02,2020.08.08,164,"아마두 (Feat. 우원재, 김효은, 넉살, Huckleberry P)","염따 (YumDDa), 딥플로우, 팔로알토 (Paloalto), The Quiett, 사이먼 도미닉 (Simon Dominic)",Dingo X DAMOIM (Part 2),,
164,2020,32,2020.08.02,2020.08.08,165,꿈속에 너 (Feat. 전상근),에이치코드 (H:CODE),두 번째 이야기,,
165,2020,32,2020.08.02,2020.08.08,166,시간의 바깥,아이유 (IU),Love poem,,
166,2020,32,2020.08.02,2020.08.08,167,삐삐,아이유 (IU),삐삐,,
167,2020,32,2020.08.02,2020.08.08,168,미친 소리,이예준,미친 소리,,
168,2020,32,2020.08.02,2020.08.08,169,Stay Tonight,청하,Stay Tonight,,
169,2020,32,2020.08.02,2020.08.08,170,You`re Cold (더 많이 사랑한 쪽이 아프대),헤이즈 (Heize),사이코지만 괜찮아 OST Part.1,,
170,2020,32,2020.08.02,2020.08.08,171,BAND,"창모, Hash Swan, ASH ISLAND, 김효은",BAND,,
171,2020,32,2020.08.02,2020.08.08,172,Dance The Night Away,TWICE,Summer Nights,,
172,2020,32,2020.08.02,2020.08.08,173,워커홀릭,볼빨간사춘기,Two Five,,
173,2020,32,2020.08.02,2020.08.08,174,Kill This Love,BLACKPINK,KILL THIS LOVE,,
174,2020,32,2020.08.02,2020.08.08,175,뚜두뚜두 (DDU-DU DDU-DU),BLACKPINK,SQUARE UP,,
175,2020,32,2020.08.02,2020.08.08,176,my future,Billie Eilish,my future,,
176,2020,32,2020.08.02,2020.08.08,177,새 사랑,송하예,새 사랑,,
177,2020,32,2020.08.02,2020.08.08,178,나도 모르는 노래 (Hallelujah),김필,사이코지만 괜찮아 OST Part.5,,
178,2020,32,2020.08.02,2020.08.08,179,나보다 더 사랑해요,김호중,나보다 더 사랑해요,,
179,2020,32,2020.08.02,2020.08.08,180,마지막처럼,BLACKPINK,마지막처럼,,
180,2020,32,2020.08.02,2020.08.08,181,On My Way,"Alan Walker, Sabrina Carpenter, Farruko",On My Way OST,,
181,2020,32,2020.08.02,2020.08.08,182,Closer (Feat. Halsey),The Chainsmokers,Collage,,
182,2020,32,2020.08.02,2020.08.08,183,Supalonely (Feat. Gus Dapperton),BENEE,STELLA & STEVE,,
183,2020,32,2020.08.02,2020.08.08,184,We are Bulletproof : the Eternal,방탄소년단,MAP OF THE SOUL : 7,,
184,2020,32,2020.08.02,2020.08.08,185,High,5 Seconds Of Summer,CALM,,
185,2020,32,2020.08.02,2020.08.08,186,Never Not,Lauv,I met you when I was 18. (the playlist),,
186,2020,32,2020.08.02,2020.08.08,187,Into the Unknown,"Idina Menzel, AURORA",Frozen 2 (겨울왕국 2 OST),,
187,2020,32,2020.08.02,2020.08.08,188,솔직하게 말해서 나,김나영,솔직하게 말해서 나,,
