Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
123,6,"

I`m Not The Only One
Sam Smith | In The Lonely Hour","2,870,903","Capitol Records
Universal Music",,
124,6,"

달
스트레이 (The Stray) | 달","2,835,379","에이뎀레코드
Warner Music",,
125,12,"

2002
Anne-Marie | Speak Your Mind (Deluxe)","2,806,298","Atlantic Records UK
Warner Music",,
126,6,"

연애편지
임영웅 | IM HERO","2,788,025","물고기뮤직
Dreamus",,
127,2,"

Loving You Girl (Feat. Hkeem)
Peder Elias | Loving You Girl","2,742,149","Columbia
Sony Music",,
128,5,"

Blueming
아이유 (IU) | Love poem","2,688,761","Kakao Entertainment
Kakao Entertainment",,
129,7,"

When I Get Old
Christopher, 청하 | When I Get Old","2,685,261","Parlophone Denmark
Warner Music",,
130,new,"

나쁜X
비비(BIBI) | Lowlife Princess: Noir","2,664,532","Feel Ghood Music
Kakao Entertainment",,
131,4,"

Bad
Christopher | Bad","2,623,531","Parlophone Denmark
Warner Music",,
132,3,"

Bad Habits
Ed Sheeran | Bad Habits","2,622,214","Atlantic Records UK
Warner Music",,
133,2,"

팡파레
다비치 | Season Note","2,608,835","WAKEONE
지니뮤직, Stone Music Entertainment",,
134,4,"

편지 (영화 `동감` X 윤하 (YOUNHA))
윤하 | 편지 (영화 `동감` X 윤하 (YOUNHA)) OST","2,601,373","TOON STUDIO
Kakao Entertainment",,
135,9,"

언제나 사랑해
케이시 (Kassy) | 조영수 리메이크 프로젝트 Part.2","2,587,937","도토리뮤직
Kakao Entertainment",,
136,3,"

보금자리
임영웅 | IM HERO","2,552,283","물고기뮤직
Dreamus",,
137,5,"

고백
멜로망스(Melomance) | 세 번째 `고백`","2,542,125","카카오엔터테인먼트, 민트페이퍼, 광합성
Kakao Entertainment",,
138,17,"

뜨거운 여름밤은 가고 남은 건 볼품없지만
잔나비 | MONKEY HOTEL","2,523,488","페포니 뮤직
Kakao Entertainment",,
139,HOT,"

Made You Look
Meghan Trainor | Takin` It Back","2,497,734","Epic
Sony Music",,
140,HOT,"

Impurities
LE SSERAFIM (르세라핌) | ANTIFRAGILE","2,481,231","쏘스뮤직
YG PLUS",,
141,-,"

눈이 오잖아 (Feat.헤이즈)
이무진 | 눈이 오잖아","2,470,493","쇼플레이
Kakao Entertainment",,
142,3,"

My Universe
Coldplay, 방탄소년단 | My Universe","2,460,072","Parlophone UK
Warner Music",,
143,2,"

너의 번호를 누르고 (Prod. 영화처럼)
#안녕 | 너의 번호를 누르고","2,440,341","시애틀뮤직
Warner Music",,
144,10,"

거리에서
성시경 | The Ballads","2,423,896","제로원인터랙티브
더늠",,
145,new,"

열두시땡
오반 (OVAN) | 주연","2,419,034","로맨틱팩토리
Kakao Entertainment",,
146,9,"

선물
멜로망스(Melomance) | Moonlight","2,384,690","민트페이퍼, 광합성
Kakao Entertainment",,
147,11,"

고백하는 취한밤에 (Prod. 2soo)
임재현 | 고백하는 취한밤에","2,357,870","디원미디어, 니즈뮤직
지니뮤직, Stone Music Entertainment",,
148,9,"

오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
마크툽 (Maktub) | Red Moon : To You My Light","2,311,334","MAKTUB Company
Warner Music",,
149,9,"

오래된 노래
스탠딩 에그(Standing Egg) | 오래된 노래","2,310,893","BORN
Kakao Entertainment",,
150,4,"

Light Switch
Charlie Puth | Light Switch","2,301,317","Atlantic Records UK
Warner Music",,
151,32,"

불륜
비비(BIBI) | Sweet Sorrow of Mother","2,300,271","Feel Ghood Music
Kakao Entertainment",,
152,75,"

Last Christmas
Ariana Grande | Christmas Kisses","2,292,261","Universal Music
Universal Music",,
153,4,"

에잇 (Prod.&Feat. SUGA of BTS)
아이유 (IU) | 에잇","2,291,461","EDAM엔터테인먼트
Kakao Entertainment",,
154,5,"

예뻤어
DAY6 | Every DAY6 February","2,286,354","JYP Entertainment
지니뮤직",,
155,3,"

찰나가 영원이 될 때 (The Eternal Moment)
마크툽 (Maktub) | Red Moon : Beyond The Light","2,278,619","MAKTUB Company
Warner Music",,
156,-,"

첫눈처럼 너에게 가겠다
에일리 (Ailee) | 도깨비 OST Part 9","2,269,183","Stone Music Entertainment, 화앤담픽쳐스
지니뮤직, Stone Music Entertainment",,
157,new,"

오늘부터 1일
지아 (Zia) | 오늘부터 1일 (지아 X Prod. 박정욱)","2,264,203","엠오티 엔터테인먼트
NHN벅스",,
158,7,"

늦은 밤 너의 집 앞 골목길에서
노을 | 늦은 밤 너의 집 앞 골목길에서","2,239,144","씨제스엔터테인먼트
Kakao Entertainment",,
159,6,"

문득
BE`O (비오) | Bipolar","2,232,542","페임어스 엔터테인먼트
지니뮤직, Stone Music Entertainment",,
160,16,"

I Don`t Think That I Like Her
Charlie Puth | I Don`t Think That I Like Her","2,217,056","Atlantic Records
Warner Music",,
161,7,"

헤픈 우연
헤이즈 (Heize) | HAPPEN","2,206,579","피네이션
지니뮤직, Stone Music Entertainment",,
162,15,"

사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)
호미들 | 사이렌 Remix","2,198,392","영앤리치 레코즈
Kakao Entertainment",,
163,13,"

Monologue
버즈 (Buzz) | Morning Of Buzz","2,178,669","예전미디어
NHN벅스",,
164,new,"

Groove Back (Feat. 개코)
박진영 | Groove Missing","2,175,607","JYP Entertainment
Dreamus",,
165,63,"

첫 눈
EXO | 겨울 스페셜 앨범 `12월의 기적 (Miracles In December)`","2,128,133","SM Entertainment
지니뮤직",,
166,26,"

광화문에서 (At Gwanghwamun)
규현 (KYUHYUN) | The 1st Mini Album `광화문에서 (At Gwanghwamun)`","2,124,497","SM Entertainment
Dreamus",,
167,7,"

스물다섯, 스물하나
자우림 | 9집 Goodbye, Grief.","2,119,128","사운드홀릭
NHN벅스",,
168,25,"

SUN GOES DOWN (Prod. R.Tee)
저스디스 (JUSTHIS), R.Tee | 쇼미더머니 11 Episode 0","2,086,699","Stone Music Entertainment
지니뮤직",,
169,6,"

낭만교향곡 (Feat. CHANGMO, 박재범)
BIG Naughty (서동현) | 낭만","2,081,728","H1GHR MUSIC
Kakao Entertainment",,
170,3,"

Vancouver
BIG Naughty (서동현) | Lovey Dovey","2,081,390","H1GHR MUSIC
Kakao Entertainment",,
171,5,"

그중에 그대를 만나
김호중 | 삼남매가 용감하게 OST Part.1","2,078,252","더하기미디어
Kakao Entertainment",,
172,1,"

Love Yourself
Justin Bieber | Purpose (Deluxe Edition)","2,072,018","Def Jam Recordings, a division of UMG Recordings, Inc
Universal Music",,
173,95,"

The Drum
Alan Walker | The Drum","2,056,638","MER Recordings
Sony Music",,
174,13,"

열이올라요 (Heart Burn)
선미 | 열이올라요 (Heart Burn)","2,051,861","어비스컴퍼니
Kakao Entertainment",,
175,new,"

이별이란 어느 별에 (Feat. 조광일)
HYNN(박혜원) | First of all","2,045,899","엔터테인먼트뉴오더
Kakao Entertainment",,
176,71,"

오랫동안
성시경 | 오랫동안 (커튼콜 OST Part.5)","2,044,157","플렉스엠
Kakao Entertainment",,
177,3,"

작은 것들을 위한 시 (Boy With Luv) (Feat. Halsey)
방탄소년단 | MAP OF THE SOUL : PERSONA","2,044,103","BIGHIT MUSIC / HYBE
YG PLUS",,
178,8,"

Savage
aespa | Savage - The 1st Mini Album","2,021,418","SM Entertainment
Dreamus",,
179,10,"

One Call Away
Charlie Puth | Nine Track Mind (Deluxe)","2,018,923","Artist Partners
Warner Music",,
180,12,"

Love poem
아이유 (IU) | Love poem","2,009,557","Kakao Entertainment
Kakao Entertainment",,
181,2,"

롤린 (Rollin`)
브레이브걸스 (Brave Girls) | Rollin`","1,994,342","브레이브 엔터테인먼트
음악형제들",,
182,20,"

CASE 143
Stray Kids (스트레이 키즈) | MAXIDENT","1,993,974","JYP Entertainment
Dreamus",,
183,8,"

너였다면
정승환 | 또 오해영 OST Part 5","1,989,342","Stone Music Entertainment
지니뮤직",,
184,9,"

Shape of You
Ed Sheeran | ÷ (Deluxe)","1,984,701","Atlantic Records UK
Warner Music",,
185,3,"

abcdefu
GAYLE | abcdefu","1,974,551","Atlantic, Arthouse Records
Warner Music",,
186,44,"

가을 타나 봐
바이브 (Vibe) | 가을 타나 봐","1,965,586","메이저나인
지니뮤직",,
187,11,"

12:45 (Stripped)
Etham | 12:45 (Stripped)","1,960,271","Virgin EMI
Universal Music",,
188,11,"

METEOR
창모 (CHANGMO) | Boyhood","1,958,325","앰비션뮤직
지니뮤직, Stone Music Entertainment",,
189,16,"

호랑수월가
탑현 | 호랑수월가","1,956,864","탑현월드
Kakao Entertainment",,
190,5,"

흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
장범준 | 멜로가 체질 OST Part 3","1,953,558","Stone Music Entertainment, 삼화네트웍스
지니뮤직, Stone Music Entertainment",,
191,26,"

가을 안부
먼데이 키즈 (Monday Kiz) | 가을 안부","1,952,624","먼데이키즈 컴퍼니
지니뮤직",,
192,97,"

미리 메리 크리스마스 (Feat. 천둥)
아이유 (IU) | Real","1,947,225","Kakao Entertainment
Kakao Entertainment",,
193,6,"

어른
Sondia | 나의 아저씨 OST Part 2","1,939,951","Stone Music Entertainment
지니뮤직",,
194,56,"

너야
주호 | 너야","1,939,873","도너츠컬쳐
NHN벅스",,
195,18,"

Timeless
SG 워너비 | SG Wanna Be+","1,933,423","Stone Music Entertainment
지니뮤직",,
196,24,"

너를 만나
폴킴 | 너를 만나","1,929,831","뉴런뮤직
Kakao Entertainment",,
197,3,"

Generation
tripleS (트리플에스) | Acid Angel from Asia ＜ACCESS＞","1,926,822","모드하우스
Kakao Entertainment",,
198,21,"

No Celestial
LE SSERAFIM (르세라핌) | ANTIFRAGILE","1,916,375","쏘스뮤직
YG PLUS",,
199,13,"

추억은 만남보다 이별에 남아
정동하 | 추억은 만남보다 이별에 남아","1,914,525","뮤직원 컴퍼니
Kakao Entertainment",,
200,22,"

아이와 나의 바다
아이유 (IU) | 5th Album `LILAC`","1,904,786","EDAM엔터테인먼트
Kakao Entertainment",,
"
",,,,,,
