Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
132,new,"

사랑하니까 (2021)
이보람 | 사랑하니까 (2021)","2,855,344","냠냠엔터테인먼트
지니뮤직, Stone Music Entertainment",,
133,7,"

너무 보고싶어
전상근 | 너무 보고싶어 (너에게 하고 싶은 말 X 전상근)","2,848,428","프로젝트 리본
Warner Music",,
134,5,"

내 마음이 움찔했던 순간 (취향저격 그녀 X 규현)
규현 (KYUHYUN) | 내 마음이 움찔했던 순간 (취향저격 그녀 X 규현) OST","2,821,144","TOON STUDIO, 느을
Kakao Entertainment",,
135,-,"

Rainy day (Feat. ASH ISLAND, Skinny Brown)
PATEKO (파테코) | Rainy day","2,817,984","tokkinny records
YG PLUS",,
136,25,"

그대라는 사치
임영웅 | 사랑의 콜센타 PART62","2,815,985","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
137,new,"

다시, 여름 (Hello, Sunset)
레드벨벳(Red Velvet) | Queendom - The 6th Mini Album","2,811,715","SM Entertainment
Dreamus",,
138,new,"

Better Be
레드벨벳(Red Velvet) | Queendom - The 6th Mini Album","2,805,566","SM Entertainment
Dreamus",,
139,new,"

Pushin` N Pullin`
레드벨벳(Red Velvet) | Queendom - The 6th Mini Album","2,801,710","SM Entertainment
Dreamus",,
140,25,"

다시 사랑한다면 (김필 Ver.)
임영웅 | 사랑의 콜센타 PART56","2,771,000","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
141,1,"

비도 오고 그래서 (Feat. 신용재)
헤이즈 (Heize) | /// (너 먹구름 비)","2,748,089","Stone Music Entertainment
지니뮤직",,
142,8,"

Maniac
Conan Gray | Maniac","2,709,695","Republic Records
Universal Music",,
143,11,"

WE GO
프로미스나인 (fromis_9) | 9 WAY TICKET","2,618,324","오프더레코드 엔터테인먼트
지니뮤직, Stone Music Entertainment",,
144,37,"

끝사랑
임영웅 | 사랑의 콜센타 PART61","2,539,486","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
145,5,"

parachute
John K | love + everything else","2,484,288","Epic
Sony Music",,
146,6,"

아이와 나의 바다
아이유 (IU) | 5th Album `LILAC`","2,472,001","EDAM엔터테인먼트
Kakao Entertainment",,
147,52,"

Believer
Imagine Dragons | Evolve","2,463,370","KIDinaKORNER, Interscope Records
Universal Music",,
148,4,"

Bad
Christopher | Bad","2,439,276","Parlophone Denmark
Warner Music",,
149,6,"

시작
가호 (Gaho) | 이태원 클라쓰 OST Part.2","2,410,060","블렌딩
블렌딩",,
150,new,"

Make Love (Feat. Zion.T)
GRAY (그레이) | grayground.","2,407,193","AOMG
Kakao Entertainment",,
151,14,"

다시 여기 바닷가
싹쓰리 (유두래곤, 린다G, 비룡) | 다시 여기 바닷가","2,380,275","MBC
Kakao Entertainment",,
152,49,"

Bk Love
임영웅 | 뽕숭아학당 PART23","2,374,676","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
153,51,"

잊었니
임영웅 | 사랑의 콜센타 PART60","2,367,580","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
154,8,"

At My Worst
Pink Sweat$ | The Prelude","2,361,368","Warner Music
Warner Music",,
155,8,"

사계 (Four Seasons)
태연 (TAEYEON) | 사계 (Four Seasons)","2,353,429","SM Entertainment
Dreamus",,
156,8,"

사랑하게 될 줄 알았어
전미도 | 슬기로운 의사생활 OST Part 11","2,352,018","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
157,13,"

When We Disco (Duet with 선미)
박진영 | When We Disco","2,338,671","JYP Entertainment
Dreamus",,
158,1,"

주저하는 연인들을 위해
잔나비 | 전설","2,337,663","페포니 뮤직
Kakao Entertainment",,
159,4,"

Shape of You
Ed Sheeran | ÷ (Deluxe)","2,335,946","Atlantic Records UK
Warner Music",,
160,9,"

우리 왜 헤어져야 해
신예영 | 우리 왜 헤어져야 해","2,305,883","스튜디오 오드리
Kakao Entertainment",,
161,5,"

안녕
폴킴 | 호텔 델루나 OST Part.10","2,293,669","냠냠엔터테인먼트
Kakao Entertainment",,
162,9,"

Ashes
Stellar | Ashes","2,275,704","Arista Records/RCA Records
Sony Music",,
163,22,"

오늘따라 더 미운 그대가
전상근 | 오늘따라 더 미운 그대가","2,270,095","셀러빗(CELEBIT)
Kakao Entertainment",,
164,2,"

Loving You Girl (Feat. Hkeem)
Peder Elias | Loving You Girl","2,241,522","Columbia
Sony Music",,
165,HOT,"

바다가 들린다 (Prod. NIve)
양다일 | Ocean Waves with KozyPop","2,228,336","LINK6 Inc., 브랜뉴뮤직
Warner Music",,
166,18,"

밤이 되니까
원슈타인 (Wonstein) | 밤이 되니까","2,189,661","냠냠엔터테인먼트
지니뮤직, Stone Music Entertainment",,
167,43,"

보고 싶단 말이야
펀치 (Punch), 매드 클라운(Mad Clown) | 보고 싶단 말이야","2,183,348","냠냠엔터테인먼트
지니뮤직, Stone Music Entertainment",,
168,32,"

외딴섬 로맨틱
잔나비 | 환상의 나라","2,173,266","페포니 뮤직
Kakao Entertainment",,
169,9,"

Way Back Home
숀 (SHAUN) | Take","2,169,898","디씨톰엔터테인먼트
Warner Music",,
170,1,"

Stuck with U
Ariana Grande, Justin Bieber | Stuck with U","2,161,897","2011 Universal Records, a Division of UM
Universal Music",,
171,2,"

너의 모든 순간
성시경 | 별에서 온 그대 OST Part 7","2,141,842","SBS 콘텐츠허브
Kakao Entertainment",,
172,45,"

EVEREST (with Sam Kim)
AKMU (악뮤) | NEXT EPISODE","2,129,377","YG Entertainment
YG PLUS",,
173,7,"

Downtown Baby
블루 (BLOO) | Downtown Baby","2,111,241","메킷레인
Warner Music",,
174,36,"

한여름밤의 꿀 : 다시 여름
산이 (San E), 레이나 | 한여름밤의 꿀 : 다시 여름 (TEN PROJECT Part.3)","2,109,142","브랜뉴뮤직
NHN벅스",,
175,30,"

Hello Future
NCT DREAM | Hello Future - The 1st Album Repackage","2,090,523","SM Entertainment
Dreamus",,
176,6,"

Second (Feat. 비비 (BIBI))
효연 (HYO) | Second","2,087,888","SM Entertainment, Scream Records
Dreamus",,
177,10,"

우린 어쩌다 헤어진 걸까
허각 | Hello","2,068,047","플레이엠엔터테인먼트
Kakao Entertainment",,
178,6,"

거짓말이라도 해서 널 보고싶어
백지영 | 거짓말이라도 해서 널 보고싶어","2,064,791","트라이어스
Kakao Entertainment",,
179,46,"

그대 한 사람 (낮에 뜨는 달 X 산들)
산들 | 그대 한 사람 (낮에 뜨는 달 X 산들) OST","2,051,630","TOON STUDIO
Kakao Entertainment",,
180,9,"

Beautiful Mistakes
Maroon 5, Megan Thee Stallion | Beautiful Mistakes","2,024,768","222 Records/Interscope Records
Universal Music",,
181,51,"

맞짱 (with 잔나비 최정훈)
AKMU (악뮤) | NEXT EPISODE","2,022,674","YG Entertainment
YG PLUS",,
182,63,"

미워요
임영웅 | 미워요 / 소나기","2,022,400","물고기뮤직
NHN벅스",,
183,1,"

Love Yourself
Justin Bieber | Purpose (Deluxe Edition)","2,007,146","Def Jam Recordings, a division of UMG Recordings, Inc
Universal Music",,
184,10,"

누구보다 널 사랑해
TWICE | 슬기로운 의사생활 시즌2 OST Part 4","1,982,974","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
185,64,"

I Don`t Love You (Feat. 쿠기)
GRAY (그레이) | I Don`t Love You","1,982,727","AOMG
Kakao Entertainment",,
186,3,"

좋은 사람 있으면 소개시켜줘
조이 (JOY) | 슬기로운 의사생활 OST Part 2","1,967,034","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
187,9,"

사이렌
호미들 | Ghetto Kids","1,961,996","G.M.S.P
우조엔터테인먼트",,
188,HOT,"

여전히 아름다운지 (Feat. 김연우)
토이 (Toy) | A Night In Seoul","1,960,895","Orange
E&E MEDIA",,
189,13,"

고백 (바른연애 길잡이 X 허각)
허각 | 고백 (바른연애 길잡이 X 허각) OST","1,934,228","TOON STUDIO, 느을
Kakao Entertainment",,
190,6,"

bad guy
Billie Eilish | WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","1,920,428","Darkroom, Interscope Records
Universal Music",,
191,21,"

Love Me Like That
샘김 | 알고있지만, OST Part.6","1,919,879","JTBC Studios
Warner Music",,
192,49,"

Psycho
레드벨벳(Red Velvet) | `The ReVe Festival` Finale","1,904,240","SM Entertainment
Dreamus",,
193,1,"

비밀의 화원
아이유 (IU) | 꽃갈피 둘","1,894,424","페이브엔터테인먼트,카카오 M
Kakao Entertainment",,
194,15,"

소우주 (Mikrokosmos)
방탄소년단 | MAP OF THE SOUL : PERSONA","1,892,355","BIGHIT MUSIC / HYBE
YG PLUS",,
195,32,"

잡아줄게 (Prod. GroovyRoom)
ASH ISLAND, 그루비룸 (GroovyRoom) | 잡아줄게 (Prod. GroovyRoom)","1,890,435","@AREA
Kakao Entertainment",,
196,10,"

ON
방탄소년단 | MAP OF THE SOUL : 7","1,890,379","BIGHIT MUSIC / HYBE
YG PLUS",,
