Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
124,14,"

바보에게 바보가 (웹툰 `연애의 발견` X 이석훈)
이석훈 | 바보에게 바보가 (웹툰 `연애의 발견` X 이석훈) OST","3,050,323","TOON STUDIO
Kakao Entertainment",,
125,6,"

Celebrity
아이유 (IU) | Celebrity","3,032,293","EDAM엔터테인먼트
Kakao Entertainment",,
126,new,"

Beautiful Christmas
레드벨벳(Red Velvet), aespa | 2022 Winter SMTOWN : SMCU PALACE","3,019,632","SM Entertainment
Dreamus",,
127,15,"

Talk that Talk
TWICE | BETWEEN 1&2","2,998,025","JYP Entertainment
Dreamus",,
128,11,"

MY BAG
(여자)아이들 | I NEVER DIE","2,932,079","큐브엔터테인먼트
Kakao Entertainment",,
129,7,"

GHOST TOWN
Benson Boone | GHOST TOWN","2,850,926","Warner Records
Warner Music",,
130,10,"

SMILEY (Feat. BIBI)
YENA(최예나) | SMiLEY","2,847,803","위에화엔터테인먼트코리아
지니뮤직, Stone Music Entertainment",,
131,36,"

Last Christmas
Wham! | George Michael & Wham! Last Christmas : The Original Motion Picture Soundtrack","2,820,794","Sony Music CG
Sony Music",,
132,2,"

A bientot
임영웅 | IM HERO","2,791,292","물고기뮤직
Dreamus",,
133,6,"

Weekend
태연 (TAEYEON) | Weekend","2,780,895","SM Entertainment
Dreamus",,
134,-,"

인생찬가
임영웅 | IM HERO","2,761,477","물고기뮤직
Dreamus",,
135,1,"

밤편지
아이유 (IU) | 밤편지","2,740,955","페이브엔터테인먼트,카카오 M
Kakao Entertainment",,
136,13,"

희재
성시경 | 국화꽃향기 OST","2,733,227","태원엔터테인먼트
태원엔터테인먼트",,
137,5,"

I`m Not The Only One
Sam Smith | In The Lonely Hour","2,730,064","Capitol Records
Universal Music",,
138,14,"

못해
김나영 | 못해 (Re : WIND 4MEN Vol.02)","2,727,535","메이저나인
지니뮤직",,
139,6,"

OHAYO MY NIGHT
디핵 (D-Hack), PATEKO(파테코) | OHAYO MY NIGHT","2,717,218","NEOKIDZ
YG PLUS",,
140,52,"

매일 크리스마스 (Everyday Christmas)
다비치 | 매일 크리스마스 (Everyday Christmas)","2,691,738","WAKEONE
지니뮤직",,
141,6,"

When I Get Old
Christopher, 청하 | When I Get Old","2,650,705","Parlophone Denmark
Warner Music",,
142,4,"

손이 참 곱던 그대
임영웅 | IM HERO","2,615,838","물고기뮤직
Dreamus",,
143,4,"

The Drum
Alan Walker | The Drum","2,598,080","MER Recordings
Sony Music",,
144,36,"

STEP
카라 (KARA) | 3rd Album STEP","2,573,984","DSP미디어
Kakao Entertainment",,
145,14,"

듣고 싶을까
MSG워너비(M.O.M) | 듣고 싶을까","2,549,888","NK Company
지니뮤직, Stone Music Entertainment",,
146,6,"

사랑해 진짜
임영웅 | IM HERO","2,548,087","물고기뮤직
Dreamus",,
147,6,"

2002
Anne-Marie | Speak Your Mind (Deluxe)","2,535,862","Atlantic Records UK
Warner Music",,
148,5,"

팡파레
다비치 | Season Note","2,488,782","WAKEONE
지니뮤직, Stone Music Entertainment",,
149,3,"

Blueming
아이유 (IU) | Love poem","2,464,404","Kakao Entertainment
Kakao Entertainment",,
150,13,"

I Ain`t Worried
OneRepublic | Top Gun: Maverick (Music From The Motion Picture) OST","2,447,255","Interscope Records
Universal Music",,
151,53,"

This Christmas
태연 (TAEYEON) | This Christmas Winter is Coming","2,446,791","SM Entertainment
Dreamus",,
152,6,"

연애편지
임영웅 | IM HERO","2,432,438","물고기뮤직
Dreamus",,
153,30,"

모든 계절은 너였다
길구봉구 | 모든 계절은 너였다","2,432,174","이별 후
Kakao Entertainment",,
154,21,"

Santa`s Coming For Us
Sia | Santa`s Coming For Us","2,402,789","Monkey Puzzle, Atlantic
Warner Music",,
155,37,"

내 세상은 너로 가득해
탑현 | 내 세상은 너로 가득해","2,402,005","레이벡스
Kakao Entertainment",,
156,22,"

Like It`s Christmas
Jonas Brothers | Like It`s Christmas","2,371,996","Universal Music
Universal Music",,
157,12,"

사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네
잔나비 | 봉춤을 추네","2,353,388","페포니 뮤직
지니뮤직",,
