,music,singer,music_id,release_date,category,music_like,comment_count
173,Action!,DPRLIVE,30948892,2018.03.13,랩/힙합,55239,249
174,실례해도 될까요,"장재인,수호",30942260,2018.03.09,발라드,48601,354
175,결혼,문문,30689468,2017.10.24,"발라드, 국내드라마",112599,430
176,북,"배연서,오담률",30901347,2018.03.14,랩/힙합,98804,983
177,BOOMERANG,WannaOne,30960341,2018.03.19,댄스,145249,2134
178,소나기,용준형,30970444,2018.03.22,발라드,161526,1291
179,GOLD,WannaOne,30960340,2018.03.19,댄스,70923,458
180,너의 이름을,WannaOne,30960344,2018.03.19,발라드,70246,383
181,보여,WannaOne,30960343,2018.03.19,댄스,70422,478
182,WE ARE,WannaOne,30960342,2018.03.19,댄스,56665,190
183,껍데기는 가,"김근수,조원우",30962526,2018.03.20,"발라드, 국내드라마",420756,1074
184,어린 왕자,"김하온,박준호",30974156,2018.03.24,랩/힙합,98525,574
185,Like It,"배연서,윤진영",8235260,2016.06.21,R&B/Soul,301985,759
186,바코드,"김하온,이병재",30981678,2018.03.28,댄스,35001,435
187,지나오다,닐로,30699142,2017.10.31,발라드,258467,9258
188,그럴 수밖에,김동률,30978870,2018.03.27,발라드,14989,114
189,남겨둘게,키썸,30977433,2018.03.27,발라드,18159,90
190,봄 사랑 벚꽃 말고,"HIGH4,아이유",4579468,2014.04.08,발라드,221450,419
191,널 부르는 밤,나얼,30982357,2018.03.28,R&B/Soul,17641,197
192,Someone like you,EXOCBX,30974085,2018.03.24,"발라드, 국내드라마",74981,520
193,하루끝엔 그대가 있어요,한동근,30974146,2018.03.25,"발라드, 국내드라마",41533,106
194,매일 봐요,마마무,30988221,2018.03.30,댄스,18006,111
195,봄이 좋냐??,10cm,8124417,2016.04.01,"인디음악, 포크/블루스",182888,312
196,EVERYDAY,위너,30997649,2018.04.04,랩/힙합,155979,1519
197,Young Wave,오담률,30990167,2018.04.02,댄스,25831,285
198,AIR,위너,30997650,2018.04.04,댄스,64753,618
199,넋두리,닐로,9642570,2016.09.12,발라드,124245,431
200,손만 잡고 자자,위너,30997652,2018.04.04,랩/힙합,47604,417
201,MADMAX,박준호,30989545,2018.03.31,랩/힙합,17464,268
202,탓,이병재,30989466,2018.03.31,"발라드, 국내드라마",31002,80
203,아름다운,신용재,30997779,2018.04.04,발라드,11737,56
204,예뻤더라,위너,30997655,2018.04.04,발라드,42859,275
205,여보세요,위너,30997651,2018.04.04,랩/힙합,30083,150
206,LA LA,위너,30997653,2018.04.04,록/메탈,31393,198
207,What is Love?,TWICE,31006730,2018.04.09,댄스,160068,1908
208,花요일,EXOCBX,31009483,2018.04.10,댄스,126127,1853
209,Adios,김하온,31004550,2018.04.07,랩/힙합,47477,356
210,붕붕,김하온,31019584,2018.04.14,랩/힙합,190313,1376
211,전혀,이병재,30662444,2017.10.06,POP,55791,65
212,이로한,배연서,31009487,2018.04.10,댄스,63099,219
213,Why Why Why,펀치,31004457,2018.04.07,"발라드, 국내드라마",29425,68
214,내일 만나,EXOCBX,31009484,2018.04.10,댄스,55970,105
215,너에게 꽃이다,40,31004487,2018.04.08,R&B/Soul,11677,63
216,Monday Blues,EXOCBX,31009482,2018.04.10,R&B/Soul,59805,174
217,Vroom Vroom,EXOCBX,31009486,2018.04.10,댄스,58475,183
