,year,week_num,start_date,end_date,rank,music,singer,album,production,distribution
161,2023,16,2023.04.16,2023.04.22,162,すずめ / Suzume (Feat. Toaka (토아카/十明)),RADWIMPS,Suzume (스즈메의 문단속/すずめの戸締まり) OST,,
162,2023,16,2023.04.16,2023.04.22,163,Kill Bill,SZA,SOS,,
163,2023,16,2023.04.16,2023.04.22,164,내 손을 잡아,아이유 (IU),최고의 사랑 OST Part 4,,
164,2023,16,2023.04.16,2023.04.22,165,"나만, 봄",볼빨간사춘기,사춘기집Ⅰ 꽃기운,,
165,2023,16,2023.04.16,2023.04.22,166,우연히 봄,"로꼬 (LOCO), 유주 (YUJU)",냄새를 보는 소녀 OST Part 2,,
166,2023,16,2023.04.16,2023.04.22,167,Flowers,Miley Cyrus,Flowers,,
167,2023,16,2023.04.16,2023.04.22,168,INVU,태연 (TAEYEON),INVU - The 3rd Album,,
168,2023,16,2023.04.16,2023.04.22,169,Made You Look,Meghan Trainor,Takin` It Back,,
169,2023,16,2023.04.16,2023.04.22,170,안녕 (Ordinary),NCT 도재정,Perfume - The 1st Mini Album,,
170,2023,16,2023.04.16,2023.04.22,171,손이 참 곱던 그대,임영웅,IM HERO,,
171,2023,16,2023.04.16,2023.04.22,172,Celebrity,아이유 (IU),Celebrity,,
172,2023,16,2023.04.16,2023.04.22,173,사랑해 진짜,임영웅,IM HERO,,
173,2023,16,2023.04.16,2023.04.22,174,네가 보고 싶은 건 자연스러운 거겠지,신예영,혼잣말 獨白,,
174,2023,16,2023.04.16,2023.04.22,175,Bad,Christopher,Bad,,
175,2023,16,2023.04.16,2023.04.22,176,어른,Sondia,나의 아저씨 OST Part 2,,
176,2023,16,2023.04.16,2023.04.22,177,혼자가 아닌 나,정효빈,혼자가 아닌 나,,
177,2023,16,2023.04.16,2023.04.22,178,SET ME FREE,TWICE,READY TO BE,,
178,2023,16,2023.04.16,2023.04.22,179,Shape of You,Ed Sheeran,÷ (Deluxe),,
179,2023,16,2023.04.16,2023.04.22,180,좋은 꿈 꿔 0224.mp3,볼빨간사춘기,사랑.zip,,
180,2023,16,2023.04.16,2023.04.22,181,Every Second,Mina Okabe,Every Second,,
181,2023,16,2023.04.16,2023.04.22,182,연애편지,임영웅,IM HERO,,
182,2023,16,2023.04.16,2023.04.22,183,보금자리,임영웅,IM HERO,,
183,2023,16,2023.04.16,2023.04.22,184,BETELGEUSE,Yuuri,BETELGEUSE,,
184,2023,16,2023.04.16,2023.04.22,185,선물,멜로망스(Melomance),Moonlight,,
185,2023,16,2023.04.16,2023.04.22,186,All Eyes On Me,지수 (JISOO),ME,,
186,2023,16,2023.04.16,2023.04.22,187,스티커 사진,21학번,스티커 사진,,
187,2023,16,2023.04.16,2023.04.22,188,너의 번호를 누르고 (Prod. 영화처럼),#안녕,너의 번호를 누르고,,
188,2023,16,2023.04.16,2023.04.22,189,눈이 오잖아 (Feat.헤이즈),이무진,눈이 오잖아,,
189,2023,16,2023.04.16,2023.04.22,190,"낭만교향곡 (Feat. CHANGMO, 박재범)",BIG Naughty (서동현),낭만,,
190,2023,16,2023.04.16,2023.04.22,191,Higher,FIFTY FIFTY,THE FIFTY,,
191,2023,16,2023.04.16,2023.04.22,192,SMILEY (Feat. BIBI),YENA(최예나),SMiLEY,,
192,2023,16,2023.04.16,2023.04.22,193,가장 아름다운 시간이었다,주호,가장 아름다운 시간이었다,,
193,2023,16,2023.04.16,2023.04.22,194,Attention,Charlie Puth,Voicenotes,,
194,2023,16,2023.04.16,2023.04.22,195,첫눈처럼 너에게 가겠다,에일리 (Ailee),도깨비 OST Part 9,,
195,2023,16,2023.04.16,2023.04.22,196,Rising,tripleS (트리플에스),ASSEMBLE,,
196,2023,16,2023.04.16,2023.04.22,197,KNOCK,이채연,Over The Moon,,
197,2023,16,2023.04.16,2023.04.22,198,헤어지자 말해요,박재정,1집 Alone,,
198,2023,16,2023.04.16,2023.04.22,199,고백,멜로망스(Melomance),세 번째 `고백`,,
199,2023,16,2023.04.16,2023.04.22,200,그대라는 사치,임창정,그대라는 사치,,
