Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
191,25,"

너였다면
정승환 | 또 오해영 OST Part 5","1,907,508","Stone Music Entertainment
지니뮤직",,
192,15,"

고백
멜로망스(Melomance) | 세 번째 `고백`","1,903,136","카카오엔터테인먼트, 민트페이퍼, 광합성
Kakao Entertainment",,
193,8,"

취기를 빌려 (취향저격 그녀 X 산들)
산들 | 취기를 빌려 (취향저격 그녀 X 산들) OST","1,896,600","TOON STUDIO
Kakao Entertainment",,
194,37,"

겨울잠
아이유 (IU) | 조각집","1,892,890","EDAM엔터테인먼트
Kakao Entertainment",,
195,32,"

Impurities
LE SSERAFIM (르세라핌) | ANTIFRAGILE","1,886,913","쏘스뮤직
YG PLUS",,
196,6,"

못해
김나영 | 못해 (Re : WIND 4MEN Vol.02)","1,881,605","메이저나인
지니뮤직",,
197,79,"

This Christmas
태연 (TAEYEON) | This Christmas Winter is Coming","1,880,249","SM Entertainment
Dreamus",,
198,27,"

Vancouver
BIG Naughty (서동현) | Lovey Dovey","1,860,823","H1GHR MUSIC
Kakao Entertainment",,
199,18,"

헤픈 우연
헤이즈 (Heize) | HAPPEN","1,856,566","피네이션
지니뮤직, Stone Music Entertainment",,
200,14,"

아무래도 난
주시크 (Joosiq) | 아무래도 난","1,856,412","뮤직레시피
Warner Music",,
"
",,,,,,
