year,week_num,start_date,end_date,rank,music,singer,album
2019,37,2019.09.08,2019.09.14,43,옥탑방,엔플라잉 (N.Flying),FLY HIGH PROJECT #2 `옥탑방`
2019,38,2019.09.15,2019.09.21,42,Goodbye,박효신,Goodbye
2019,35,2019.08.25,2019.08.31,46,사월이 지나면 우리 헤어져요 (Beautiful goodbye),첸 (CHEN),"사월, 그리고 꽃 - The 1st Mini Album"
2019,36,2019.09.01,2019.09.07,45,"나만, 봄",볼빨간사춘기,사춘기집Ⅰ 꽃기운
2019,33,2019.08.11,2019.08.17,49,Way Back Home,숀 (SHAUN),Take
2019,34,2019.08.18,2019.08.24,48,사계 (하루살이),엠씨더맥스 (M.C The Max),Circular
2019,44,2019.10.27,2019.11.02,51,내 안부,이우,내 안부
2019,42,2019.10.13,2019.10.19,54,Believer,Imagine Dragons,Evolve
2019,43,2019.10.20,2019.10.26,53,Kill This Love,BLACKPINK,KILL THIS LOVE
2019,41,2019.10.06,2019.10.12,56,누구 없소 (NO ONE) (Feat. B.I of iKON),이하이,24℃
2019,40,2019.09.29,2019.10.05,58,대충 입고 나와,우디(Woody),대충 입고 나와
2019,39,2019.09.22,2019.09.28,60,별 보러 갈래?,볼빨간사춘기,사춘기집Ⅰ 꽃기운
2019,51,2019.12.15,2019.12.21,59,짐살라빔 (Zimzalabim),레드벨벳(Red Velvet),`The ReVe Festival` Day 1
2019,52,2019.12.22,2019.12.28,62,봄날,방탄소년단,YOU NEVER WALK ALONE
2019,49,2019.12.01,2019.12.07,64,HIT,세븐틴,HIT
2019,50,2019.12.08,2019.12.14,67,180도,벤 (Ben),180˚
2019,48,2019.11.24,2019.11.30,72,헤어질 걸 알아,폴킴,헤어질 걸 알아
2019,47,2019.11.17,2019.11.23,77,비워 (Beer) (Prod. Way Ched),"CHANGMO, Hash Swan, ASH ISLAND, 김효은, Leellamarz & The Quiett",Dingo X Ambition Musik
2019,46,2019.11.10,2019.11.16,84,소우주 (Mikrokosmos),방탄소년단,MAP OF THE SOUL : PERSONA
2019,45,2019.11.03,2019.11.09,91,밤편지,아이유 (IU),밤편지
2019,32,2019.08.04,2019.08.10,4,술이 문제야,"장혜진, 윤민수",술이 문제야
2019,31,2019.07.28,2019.08.03,39,Paris In The Rain,Lauv,I met you when I was 18. (the playlist)
2019,29,2019.07.14,2019.07.20,41,벌써 12시,청하,벌써 12시
2019,30,2019.07.21,2019.07.27,40,너만 너만 너만,양다일,호텔 델루나 OST Part.4
2019,37,2019.09.08,2019.09.14,44,"아퍼 (Feat. Kid Milli, Lil tachi, 김승민, NO:EL, C JAMM)",기리보이(Giriboy),100년제전문대학
2019,38,2019.09.15,2019.09.21,43,옥탑방,엔플라잉 (N.Flying),FLY HIGH PROJECT #2 `옥탑방`
2019,35,2019.08.25,2019.08.31,47,서울 밤 (Feat. 빈지노),어반 자카파 (Urban Zakapa),서울 밤
2019,36,2019.09.01,2019.09.07,46,사월이 지나면 우리 헤어져요 (Beautiful goodbye),첸 (CHEN),"사월, 그리고 꽃 - The 1st Mini Album"
2019,33,2019.08.11,2019.08.17,50,BUNGEE (Fall in Love),오마이걸 (OH MY GIRL),OH MY GIRL SUMMER PACKAGE (FALL IN LOVE)
2019,34,2019.08.18,2019.08.24,49,Way Back Home,숀 (SHAUN),Take
2019,44,2019.10.27,2019.11.02,52,열대야 (Fever),여자친구 (GFRIEND),The 7th Mini Album `FEVER SEASON`
2019,42,2019.10.13,2019.10.19,55,넘쳐흘러,엠씨더맥스 (M.C The Max),Circular
2019,43,2019.10.20,2019.10.26,54,Believer,Imagine Dragons,Evolve
2019,41,2019.10.06,2019.10.12,57,Dance The Night Away,TWICE,Summer Nights
2019,40,2019.09.29,2019.10.05,59,짐살라빔 (Zimzalabim),레드벨벳(Red Velvet),`The ReVe Festival` Day 1
2019,39,2019.09.22,2019.09.28,61,오늘 밤에,홍진영,Lots of Love
2019,51,2019.12.15,2019.12.21,60,별 보러 갈래?,볼빨간사춘기,사춘기집Ⅰ 꽃기운
2019,52,2019.12.22,2019.12.28,63,비,폴킴,비
2019,49,2019.12.01,2019.12.07,65,뭐해 (What are you up to),강다니엘,color on me
2019,50,2019.12.08,2019.12.14,68,IDOL,방탄소년단,LOVE YOURSELF 結 `Answer`
2019,48,2019.11.24,2019.11.30,73,BIRTHDAY,전소미,BIRTHDAY
2019,47,2019.11.17,2019.11.23,78,comethru,Jeremy Zucker,"summer,"
