album,end_date,music,rank,singer,start_date,week_num,year
The MOBB,2016.03.05,꽐라,79,바비 (BOBBY),2016.02.28,10,2016
1 of 1 - The 5th Album,2016.03.12,Lipstick,76,샤이니 (SHINee),2016.03.06,11,2016
공감,2016.03.19,공감 (Feat. 서영은),73,정준영,2016.03.13,12,2016
I am A Dreamer,2016.03.26,HAPPY TOGETHER,70,박효신,2016.03.20,13,2016
달의 연인 - 보보경심 려 OST Part 7,2016.04.02,사랑인 듯 아닌 듯,68,백아연,2016.03.27,14,2016
슈퍼스타K 2016 #1,2016.04.09,탈진,65,김영근 (슈퍼스타K 2016),2016.04.03,15,2016
함부로 애틋하게 OST Part.9,2016.04.16,사랑해요,62,김범수,2016.04.10,16,2016
SQUARE ONE,2016.05.14,붐바야,60,BLACKPINK,2016.05.08,20,2016
FLIGHT LOG : TURBULENCE,2016.05.21,하드캐리,57,GOT7,2016.05.15,21,2016
I am A Dreamer,2016.05.28,Shine your light,54,박효신,2016.05.22,22,2016
1 of 1 - The 5th Album,2016.06.04,Prism,52,샤이니 (SHINee),2016.05.29,23,2016
달의 연인 - 보보경심 려 OST Part 11,2016.06.11,바람,49,정승환,2016.06.05,24,2016
달의 연인 - 보보경심 려 OST Part 6,2016.06.18,내 마음 들리나요 (Feat. 이하이),46,에픽하이 (EPIK HIGH),2016.06.12,25,2016
And July,2016.06.25,"And July (Feat. DEAN, DJ Friz)",44,헤이즈 (Heize),2016.06.19,26,2016
I am A Dreamer,2016.07.02,꿈,41,박효신,2016.06.26,27,2016
I am A Dreamer,2016.07.09,I'm your friend,38,박효신,2016.07.03,28,2016
구르미 그린 달빛 OST Part.8,2016.07.16,그리워 그리워서 (라온Ver.),36,베이지 (Beige),2016.07.10,29,2016
I am A Dreamer,2016.07.23,Li-La (리라),33,박효신,2016.07.17,30,2016
달의 연인 - 보보경심 려 OST Part 1,2016.07.30,너를 위해,30,"첸, 백현, 시우민 (EXO)",2016.07.24,31,2016
I am A Dreamer,2016.08.06,Wonderland,28,박효신,2016.07.31,32,2016
스틸,2016.08.13,널 사랑하지 않아,25,어반 자카파 (Urban Zakapa),2016.08.07,33,2016
I am A Dreamer,2016.08.20,The Dreamer (I am A Dreamer),22,박효신,2016.08.14,34,2016
A New Empire,2016.08.27,Home (Feat. 윤미래),20,에일리 (Ailee),2016.08.21,35,2016
돌아오지마,2016.09.03,돌아오지마 (Feat. 용준형 of 비스트),18,헤이즈 (Heize),2016.08.28,36,2016
구르미 그린 달빛 OST Part.5,2016.09.10,"다정하게, 안녕히",17,성시경,2016.09.04,37,2016
Pink Revolution,2016.09.17,내가 설렐 수 있게,14,에이핑크 (Apink),2016.09.11,38,2016
Full Album RED PLANET,2016.09.24,나만 안되는 연애,12,볼빨간사춘기,2016.09.18,39,2016
Dancing King,2016.10.01,Dancing King,10,"유재석, EXO",2016.09.25,40,2016
Russian Roulette - The 3rd Mini Album,2016.10.08,러시안 룰렛 (Russian Roulette),9,레드벨벳(Red Velvet),2016.10.02,41,2016
1 of 1 - The 5th Album,2016.03.05,Don’t Stop,80,샤이니 (SHINee),2016.02.28,10,2016
1 of 1 - The 5th Album,2016.03.12,SHIFT,77,샤이니 (SHINee),2016.03.06,11,2016
Half Album RED ICKLE,2016.03.19,심술,74,볼빨간사춘기,2016.03.13,12,2016
달의 연인 - 보보경심 려 OST Part 2,2016.03.26,Say Yes,71,"로꼬 (LOCO), 펀치(Punch)",2016.03.20,13,2016
1 of 1 - The 5th Album,2016.04.02,Feel Good,69,샤이니 (SHINee),2016.03.27,14,2016
여름밤에 우린,2016.04.09,여름밤에 우린,66,스탠딩 에그(Standing Egg),2016.04.03,15,2016
pathos,2016.04.16,어디에도,63,엠씨더맥스 (M.C The Max),2016.04.10,16,2016
I am A Dreamer,2016.05.14,야생화,61,박효신,2016.05.08,20,2016
웃긴 밤,2016.05.21,끝,58,권진아,2016.05.15,21,2016
또 다시 사랑,2016.05.28,또 다시 사랑,55,임창정,2016.05.22,22,2016
Why So Lonely,2016.06.04,Why So Lonely,53,원더걸스 (Wonder girls),2016.05.29,23,2016
130 mood TRBL,2016.06.11,D (half moon) (Feat. 개코),50,DEAN,2016.06.05,24,2016
구르미 그린 달빛 OST Part.10,2016.06.18,깍지,47,이적,2016.06.12,25,2016
The 1st Album `LOL`,2016.06.25,너 그리고 나 (NAVILLERA),45,여자친구 (GFRIEND),2016.06.19,26,2016
PAGE TWO,2016.07.02,CHEER UP,42,TWICE,2016.06.26,27,2016
NEW YORK,2016.07.09,NEW YORK,39,마마무 (Mamamoo),2016.07.03,28,2016
구르미 그린 달빛 OST Part 1,2016.07.16,잠은 다 잤나봐요,37,"소유 (SOYOU), 유승우",2016.07.10,29,2016
INFINITE ONLY,2016.07.23,태풍 (The Eye),34,인피니트 (Infinite),2016.07.17,30,2016
빈티지박스 Vol.1,2016.07.30,그게 뭐라고,31,"케이윌, 매드클라운",2016.07.24,31,2016
1 of 1 - The 5th Album,2016.08.06,투명 우산 (Don’t Let Me Go),29,샤이니 (SHINee),2016.07.31,32,2016
네 생각,2016.08.13,네 생각,26,존 박,2016.08.07,33,2016
SQUARE ONE,2016.08.20,휘파람,23,BLACKPINK,2016.08.14,34,2016
그렇게 있어 줘,2016.08.27,그렇게 있어 줘,21,산들,2016.08.21,35,2016
달의 연인 - 보보경심 려 OST Part 10,2016.09.03,내 사랑 (MY LOVE),19,이하이,2016.08.28,36,2016
돌아오지마,2016.09.10,돌아오지마 (Feat. 용준형 of 비스트),18,헤이즈 (Heize),2016.09.04,37,2016
Pathos Tour Live Album,2016.09.17,그대 그대 그대,15,엠씨더맥스 (M.C The Max),2016.09.11,38,2016
The 3rd Digital Single `그대라는 사치`,2016.09.24,그대라는 사치,13,한동근,2016.09.18,39,2016
구르미 그린 달빛 OST Part.3,2016.10.01,구르미 그린 달빛,11,거미,2016.09.25,40,2016
Dancing King,2016.10.08,Dancing King,10,"유재석, EXO",2016.10.02,41,2016
Pathos Tour Live Album,2016.03.05,미움 받을 용기,81,엠씨더맥스 (M.C The Max),2016.02.28,10,2016
1 of 1 - The 5th Album,2016.03.12,So Amazing,78,샤이니 (SHINee),2016.03.06,11,2016
LOTTO - The 3rd Album Repackage,2016.03.19,Lotto,75,EXO,2016.03.13,12,2016
구르미 그린 달빛 OST Part 6,2016.03.26,녹는다,72,케이윌 (K.Will),2016.03.20,13,2016
I am A Dreamer,2016.04.02,HAPPY TOGETHER,70,박효신,2016.03.27,14,2016
Lo9ve3r4s,2016.04.09,안아줘,67,정준일,2016.04.03,15,2016
쇼미더머니 5 Episode 3,2016.04.16,"호랑나비 (Feat. Gill, 리듬파워)",64,보이비 (Boi B),2016.04.10,16,2016
함부로 애틋하게 OST Part.9,2016.05.14,사랑해요,62,김범수,2016.05.08,20,2016
Full Album RED PLANET,2016.05.21,You(=I),59,볼빨간사춘기,2016.05.15,21,2016
쇼미더머니 5 Episode 3,2016.05.28,Forever (Prod. by GRAY),56,비와이(BewhY),2016.05.22,22,2016
I am A Dreamer,2016.06.04,Shine your light,54,박효신,2016.05.29,23,2016
또 오해영 OST Part 5,2016.06.11,너였다면,51,정승환,2016.06.05,24,2016
너만이,2016.06.18,너만이 (Feat. 헤이즈),48,유승우,2016.06.12,25,2016
달의 연인 - 보보경심 려 OST Part 6,2016.06.25,내 마음 들리나요 (Feat. 이하이),46,에픽하이 (EPIK HIGH),2016.06.19,26,2016
구르미 그린 달빛 OST Part 4,2016.07.02,안갯길 (Prod. By 진영(B1A4)),43,벤 (Ben),2016.06.26,27,2016
쇼미더머니 5 Episode 4,2016.07.09,Day Day (Feat. 박재범) (Prod. by GRAY),40,비와이(BewhY),2016.07.03,28,2016
I am A Dreamer,2016.07.16,I'm your friend,38,박효신,2016.07.10,29,2016
달의 연인 - 보보경심 려 OST Part 4,2016.07.23,그대를 잊는다는 건,35,다비치,2016.07.17,30,2016
구르미 그린 달빛 OST Part.9,2016.07.30,Love Is Over,32,백지영,2016.07.24,31,2016
달의 연인 - 보보경심 려 OST Part 1,2016.08.06,너를 위해,30,"첸, 백현, 시우민 (EXO)",2016.07.31,32,2016
puzzle,2016.08.13,puzzle,27,"씨잼 (C Jamm), 비와이(BewhY)",2016.08.07,33,2016
If You,2016.08.20,If You,24,에일리 (Ailee),2016.08.14,34,2016
I am A Dreamer,2016.08.27,The Dreamer (I am A Dreamer),22,박효신,2016.08.21,35,2016
A New Empire,2016.09.03,Home (Feat. 윤미래),20,에일리 (Ailee),2016.08.28,36,2016
달의 연인 - 보보경심 려 OST Part 10,2016.09.10,내 사랑 (MY LOVE),19,이하이,2016.09.04,37,2016
목요일 밤,2016.09.17,목요일 밤 (Feat. 빈지노),16,어반 자카파 (Urban Zakapa),2016.09.11,38,2016
Pink Revolution,2016.09.24,내가 설렐 수 있게,14,에이핑크 (Apink),2016.09.18,39,2016
Full Album RED PLANET,2016.10.01,나만 안되는 연애,12,볼빨간사춘기,2016.09.25,40,2016
구르미 그린 달빛 OST Part.3,2016.10.08,구르미 그린 달빛,11,거미,2016.10.02,41,2016
Bye bye my blue,2016.03.05,Bye bye my blue,82,백예린,2016.02.28,10,2016
The MOBB,2016.03.12,꽐라,79,바비 (BOBBY),2016.03.06,11,2016
1 of 1 - The 5th Album,2016.03.19,Lipstick,76,샤이니 (SHINee),2016.03.13,12,2016
공감,2016.03.26,공감 (Feat. 서영은),73,정준영,2016.03.20,13,2016
달의 연인 - 보보경심 려 OST Part 2,2016.04.02,Say Yes,71,"로꼬 (LOCO), 펀치(Punch)",2016.03.27,14,2016
달의 연인 - 보보경심 려 OST Part 7,2016.04.09,사랑인 듯 아닌 듯,68,백아연,2016.04.03,15,2016
슈퍼스타K 2016 #1,2016.04.16,탈진,65,김영근 (슈퍼스타K 2016),2016.04.10,16,2016
pathos,2016.05.14,어디에도,63,엠씨더맥스 (M.C The Max),2016.05.08,20,2016
SQUARE ONE,2016.05.21,붐바야,60,BLACKPINK,2016.05.15,21,2016
FLIGHT LOG : TURBULENCE,2016.05.28,하드캐리,57,GOT7,2016.05.22,22,2016
또 다시 사랑,2016.06.04,또 다시 사랑,55,임창정,2016.05.29,23,2016
1 of 1 - The 5th Album,2016.06.11,Prism,52,샤이니 (SHINee),2016.06.05,24,2016
달의 연인 - 보보경심 려 OST Part 11,2016.06.18,바람,49,정승환,2016.06.12,25,2016
구르미 그린 달빛 OST Part.10,2016.06.25,깍지,47,이적,2016.06.19,26,2016
