album,end_date,music,rank,singer,start_date,week_num,year
NewJeans 1st EP `New Jeans`,2023.04.08,Hype boy,2,NewJeans,2023.04.02,51,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2023.02.25,새삥 (Prod. ZICO) (Feat. 호미들),8,지코 (ZICO),2023.02.19,52,2022
ANTIFRAGILE,2023.04.01,ANTIFRAGILE,3,LE SSERAFIM (르세라핌),2023.03.26,51,2022
NewJeans 1st EP `New Jeans`,2023.02.18,Attention,9,NewJeans,2023.02.12,52,2022
쇼미더머니 11 Episode 1,2023.03.25,마이웨이 (MY WAY) (Prod. R.Tee),4,"저스디스 (JUSTHIS), 던말릭 (Don Malik), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), Los",2023.03.19,51,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.04.15,사건의 지평선,1,윤하,2023.04.09,50,2022
After LIKE,2023.03.18,After LIKE,5,IVE (아이브),2023.03.12,51,2022
NewJeans 1st EP `New Jeans`,2023.04.08,Hype boy,2,NewJeans,2023.04.02,50,2022
I love,2023.03.11,Nxde,6,(여자)아이들,2023.03.05,51,2022
쇼미더머니 11 Episode 1,2023.04.01,마이웨이 (MY WAY) (Prod. R.Tee),3,"저스디스 (JUSTHIS), 던말릭 (Don Malik), 허성현 (Huh), KHAN, 맥대디 (Mckdaddy), Los",2023.03.26,50,2022
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],2023.03.04,Dreamers (Feat. FIFA Sound),7,"정국, 방탄소년단",2023.02.26,51,2022
ANTIFRAGILE,2023.03.25,ANTIFRAGILE,4,LE SSERAFIM (르세라핌),2023.03.19,50,2022
Polaroid,2023.02.25,London Boy,8,임영웅,2023.02.19,51,2022
After LIKE,2023.03.18,After LIKE,5,IVE (아이브),2023.03.12,50,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2023.02.18,새삥 (Prod. ZICO) (Feat. 호미들),9,지코 (ZICO),2023.02.12,51,2022
I love,2023.03.11,Nxde,6,(여자)아이들,2023.03.05,50,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.04.15,사건의 지평선,1,윤하,2023.04.09,49,2022
Polaroid,2023.03.04,London Boy,7,임영웅,2023.02.26,50,2022
ANTIFRAGILE,2023.04.08,ANTIFRAGILE,2,LE SSERAFIM (르세라핌),2023.04.02,49,2022
Polaroid,2023.02.25,Polaroid,8,임영웅,2023.02.19,50,2022
NewJeans 1st EP `New Jeans`,2023.04.01,Hype boy,3,NewJeans,2023.03.26,49,2022
NewJeans 1st EP `New Jeans`,2023.02.18,Attention,9,NewJeans,2023.02.12,50,2022
I love,2023.03.25,Nxde,4,(여자)아이들,2023.03.19,49,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.04.15,사건의 지평선,1,윤하,2023.04.09,48,2022
Polaroid,2023.03.18,London Boy,5,임영웅,2023.03.12,49,2022
ANTIFRAGILE,2023.04.08,ANTIFRAGILE,2,LE SSERAFIM (르세라핌),2023.04.02,48,2022
After LIKE,2023.03.11,After LIKE,6,IVE (아이브),2023.03.05,49,2022
I love,2023.04.01,Nxde,3,(여자)아이들,2023.03.26,48,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2023.03.04,새삥 (Prod. ZICO) (Feat. 호미들),7,지코 (ZICO),2023.02.26,49,2022
NewJeans 1st EP `New Jeans`,2023.03.25,Hype boy,4,NewJeans,2023.03.19,48,2022
Polaroid,2023.02.25,Polaroid,8,임영웅,2023.02.19,49,2022
Polaroid,2023.03.18,London Boy,5,임영웅,2023.03.12,48,2022
Rush Hour,2023.02.18,Rush Hour (Feat. j-hope of BTS),9,크러쉬 (CRUSH),2023.02.12,49,2022
After LIKE,2023.03.11,After LIKE,6,IVE (아이브),2023.03.05,48,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.04.15,사건의 지평선,1,윤하,2023.04.09,47,2022
NewJeans 1st EP `New Jeans`,2023.03.04,Hype boy,7,NewJeans,2023.02.26,48,2022
Polaroid,2023.04.08,London Boy,2,임영웅,2023.04.02,47,2022
After LIKE,2023.02.25,After LIKE,8,IVE (아이브),2023.02.19,48,2022
Polaroid,2023.04.01,Polaroid,3,임영웅,2023.03.26,47,2022
Rush Hour,2023.02.18,Rush Hour (Feat. j-hope of BTS),9,크러쉬 (CRUSH),2023.02.12,48,2022
I love,2023.03.25,Nxde,4,(여자)아이들,2023.03.19,47,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.04.15,사건의 지평선,1,윤하,2023.04.09,46,2022
After LIKE,2023.03.18,After LIKE,5,IVE (아이브),2023.03.12,47,2022
I love,2023.04.08,Nxde,2,(여자)아이들,2023.04.02,46,2022
NewJeans 1st EP `New Jeans`,2023.03.11,Hype boy,6,NewJeans,2023.03.05,47,2022
ANTIFRAGILE,2023.04.01,ANTIFRAGILE,3,LE SSERAFIM (르세라핌),2023.03.26,46,2022
Rush Hour,2023.03.04,Rush Hour (Feat. j-hope of BTS),7,크러쉬 (CRUSH),2023.02.26,47,2022
스트릿 맨 파이터(SMF) Original Vol.3 (계급미션),2023.03.25,새삥 (Prod. ZICO) (Feat. 호미들),4,지코 (ZICO),2023.03.19,46,2022
NewJeans 1st EP `New Jeans`,2023.02.25,Attention,8,NewJeans,2023.02.19,47,2022
After LIKE,2023.03.18,After LIKE,5,IVE (아이브),2023.03.12,46,2022
Monologue,2023.02.18,Monologue,9,테이 (Tei),2023.02.12,47,2022
NewJeans 1st EP `New Jeans`,2023.03.11,Hype boy,6,NewJeans,2023.03.05,46,2022
I love,2023.04.15,Nxde,1,(여자)아이들,2023.04.09,45,2022
Rush Hour,2023.03.04,Rush Hour (Feat. j-hope of BTS),7,크러쉬 (CRUSH),2023.02.26,46,2022
YOUNHA 6th Album Repackage `END THEORY : Final Edition`,2023.04.08,사건의 지평선,2,윤하,2023.04.02,45,2022
NewJeans 1st EP `New Jeans`,2023.02.25,Attention,8,NewJeans,2023.02.19,46,2022
