Title/Artist/Album,Score,Production/Distribution,Play,,,
183,HOT,"

Dear Santa
소녀시대-태티서 (Girls’ Generation-TTS) | Dear Santa - X-Mas Special","2,227,348","SM Entertainment
지니뮤직",,
184,20,"

계단말고 엘리베이터
임영웅 | 계단말고 엘리베이터","2,215,456","물고기뮤직
뮤직앤뉴",,
185,54,"

Mistletoe
Justin Bieber | Under The Mistletoe (Deluxe Edition)","2,187,008","Universal Music
Universal Music",,
186,64,"

Someday at Christmas
Stevie Wonder & Andra Day | Merry Christmas from Andra Day","2,184,826","Warner Music
Warner Music",,
187,44,"

Cold Blooded
제시(Jessi) | Cold Blooded","2,177,497","피네이션, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
188,18,"

OUT OF MY SIGHT
릴러말즈 (Leellamarz) | VIOLINIST2","2,169,079","Ambition Musik
지니뮤직, Stone Music Entertainment",,
189,new,"

곁에 있어준다면
성시경 | 설강화 OST Part.1","2,140,416","JTBC스튜디오
Warner Music",,
190,51,"

GENERATION (Prod. Lean$moke)
호미들 | GENERATION","2,133,616","영앤리치 레코즈
Kakao Entertainment",,
191,30,"

Shivers
Ed Sheeran | Shivers","2,132,559","Atlantic Records UK
Warner Music",,
192,29,"

Alcohol-Free
TWICE | Taste of Love","2,124,551","JYP Entertainment
Dreamus",,
193,65,"

너를 생각해 (2022)
런치 | 너를 생각해 (2022)","2,084,298","뮤직레시피
Warner Music",,
194,24,"

Dolphin
오마이걸 (OH MY GIRL) | NONSTOP","2,078,377","WM엔터테인먼트
Sony Music",,
195,60,"

FACE TIME (Feat. 기리보이, pH-1, 개코) (Prod. 코드 쿤스트)
SINCE | 쇼미더머니 10 Semi Final","2,077,195","Stone Music Entertainment
지니뮤직",,
196,31,"

Brand (Feat. 래원 (Layone))
BE`O (비오) | Bipolar","2,056,338","페임어스 엔터테인먼트
지니뮤직, Stone Music Entertainment",,
