Rank,,Title/Artist/Album,Score,Production/Distribution,Play,
104,-,"

밤편지
아이유 (IU) | 밤편지","3,773,124","페이브엔터테인먼트,카카오 M
Kakao Entertainment",,
105,2,"

늦은 밤 너의 집 앞 골목길에서
노을 | 늦은 밤 너의 집 앞 골목길에서","3,723,746","씨제스엔터테인먼트
Kakao Entertainment",,
106,6,"

라라라
SG 워너비 | My Friend","3,655,999","Stone Music Entertainment
지니뮤직",,
107,13,"

슈퍼스타
미도와 파라솔 | 슬기로운 의사생활 시즌2 OST Part 6","3,629,355","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
108,2,"

HERO
임영웅 | HERO","3,563,587","티조컬처앤컨텐츠, 뉴에라프로젝트
Kakao Entertainment",,
109,7,"

VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
미란이 (Mirani), 먼치맨, Khundi Panda, 머쉬베놈 (MUSHVENOM) | 쇼미더머니 9 Episode 1","3,541,322","Stone Music Entertainment
지니뮤직",,
110,3,"

Love poem
아이유 (IU) | Love poem","3,502,099","Kakao Entertainment
Kakao Entertainment",,
111,13,"

너와 나는 이제 남이니까
이소정 | 너와 나는 이제 남이니까","3,472,255","드라마하우스스튜디오, 니즈뮤직
Kakao Entertainment",,
112,1,"

바람
최유리 | 갯마을 차차차 OST Part 4","3,452,367","Stone Music Entertainment
지니뮤직",,
113,12,"

PING PONG
현아 & 던 | 1+1=1","3,419,243","피네이션
Kakao Entertainment",,
114,22,"

Lemonade
NCT 127 | Sticker - The 3rd Album","3,329,785","SM Entertainment
Dreamus",,
115,new,"

YEPPI YEPPI
aespa | Savage - The 1st Mini Album","3,295,659","SM Entertainment
Dreamus",,
116,4,"

어떻게 지내
오반 (OVAN) | 어떻게 지내","3,277,455","로맨틱팩토리
Kakao Entertainment",,
117,new,"

aenergy
aespa | Savage - The 1st Mini Album","3,241,866","SM Entertainment
Dreamus",,
118,14,"

Black Mamba
aespa | Black Mamba","3,208,358","SM Entertainment
Dreamus",,
119,8,"

Coin
아이유 (IU) | 5th Album `LILAC`","3,191,196","EDAM엔터테인먼트
Kakao Entertainment",,
120,3,"

해운대
순순희 | 해운대","3,186,676","비에스엔터테인먼트
Kakao Entertainment",,
121,-,"

끝사랑
임영웅 | 사랑의 콜센타 PART61","3,145,134","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
122,HOT,"

Play (Prod. TOIL)
ASH ISLAND | Play","3,142,529","앰비션뮤직
Universal Music",,
123,8,"

How You Like That
BLACKPINK | How You Like That","3,128,913","YG Entertainment
YG PLUS",,
124,new,"

Vibin
영재 (Youngjae) | COLORS from Ars","3,118,859","써브라임
Kakao Entertainment",,
125,7,"

Antifreeze
백예린 | 선물","3,044,401","블루바이닐
Dreamus",,
126,4,"

아이와 나의 바다
아이유 (IU) | 5th Album `LILAC`","2,989,980","EDAM엔터테인먼트
Kakao Entertainment",,
127,5,"

Paris In The Rain
Lauv | I met you when I was 18. (the playlist)","2,958,929","뮤직테이블
NHN벅스",,
128,5,"

Dance Monkey
Tones And I | Dance Monkey","2,949,422","Elektra
Warner Music",,
129,6,"

로맨틱 선데이
카더가든 | 갯마을 차차차 OST Part 1","2,944,522","Stone Music Entertainment
지니뮤직",,
130,3,"

너를 만나
폴킴 | 너를 만나","2,944,041","뉴런뮤직
Kakao Entertainment",,
131,12,"

살짝 설렜어 (Nonstop)
오마이걸 (OH MY GIRL) | NONSTOP","2,930,241","WM엔터테인먼트
Sony Music",,
132,16,"

On The Ground
로제 (ROSE) | R","2,929,103","YG Entertainment
YG PLUS",,
133,5,"

Better
보아 (BoA) | BETTER - The 10th Album","2,904,057","SM Entertainment
Dreamus",,
134,3,"

Bk Love
임영웅 | 뽕숭아학당 PART23","2,896,179","TV CHOSUN, 쇼플레이
Kakao Entertainment",,
135,44,"

빛이 되어줘
김재환 | 갯마을 차차차 OST Part 5","2,894,579","Stone Music Entertainment
지니뮤직",,
136,7,"

Kiss Me More (Feat. SZA)
Doja Cat | Kiss Me More","2,878,333","Kemosabe Records/RCA Records
Sony Music",,
137,6,"

이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
10cm | 이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM) OST","2,872,126","TOON STUDIO, 느을
Kakao Entertainment",,
138,29,"

LALISA
리사 (LISA) | LALISA","2,872,081","YG Entertainment
YG PLUS",,
139,31,"

회상
정경호 | 슬기로운 의사생활 시즌2 OST Part 9","2,802,615","스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment
지니뮤직, Stone Music Entertainment",,
140,-,"

Bad
Christopher | Bad","2,792,993","Parlophone Denmark
Warner Music",,
141,new,"

자각몽 (Lucid Dream)
aespa | Savage - The 1st Mini Album","2,779,719","SM Entertainment
Dreamus",,
142,4,"

힘든 건 사랑이 아니다
임창정 | 힘든 건 사랑이 아니다","2,757,487","예스아이엠엔터테인먼트
인터파크",,
143,17,"

허리춤
오반 (OVAN) | 허리춤","2,752,185","로맨틱팩토리
Kakao Entertainment",,
144,3,"

마음을 드려요
아이유 (IU) | 사랑의 불시착 OST Part 11","2,662,285","EDAM엔터테인먼트
Kakao Entertainment",,
145,2,"

Shivers
Ed Sheeran | Shivers","2,650,179","Atlantic Records UK
Warner Music",,
